id,sector,symbol,token,PC,CC1,CC2,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,rsi,rsi0,rsi1,rsi2,roc0,bulRPC,berRPC,alarmTimer,srT,srV,nSR,GL,ot,oc
3,Financial Services,HDFCBANK-EQ,1333,1444.85,1443.55,1443.35,13343,0.5899999999999863,0.0408771261301823,red,"1.5, 1.5, 0.75","tweezer_b, normal",none,Bearish_Engulfing,25861.6,"0.75, 1.0, 0.5","0.0, 1.3854733123206366, 4.501385041551877","56.09756097560922, 62.162162162162495, 82.1428571428583",56.09756097560922,62.162162162162495,82.1428571428583,0.0,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
8,Financial Services,SBIN-EQ,3045,642.95,822.0,821.7,12998,0.6250000000000228,0.0760618230497776,red,"1.5, 2.0, 0.75","normal, normal",none,Bearish_Engulfing,11031.2,"1.5, 4.0, 0.5","-5.47645125958296, -1.8248175182478985, 4.255319148936446","38.46153846153981, 45.45454545454608, 65.21739130434912",38.46153846153981,45.45454545454608,65.21739130434912,-5.47645125958296,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
16,Financial Services,AXISBANK-EQ,5900,1061.5,1124.6,1124.8,1850,1.1100000000000136,0.098684210526317,green,"0.75, 1.5, 0.75","hammer, hammer",hammer,Bearish_Engulfing,8659.9,"0.25, 0.75, 0.5","12.891180654338957, 11.115063133558598, 15.554172962403342","62.37623762376193, 60.82474226804047, 67.8160919540219",62.37623762376193,60.82474226804047,67.8160919540219,12.891180654338957,"hammer, hammer","none, Bearish_Engulfing",0,none,0,0,0,,
17,Automobile and Auto Components,MARUTI-EQ,10999,10428.55,12786.1,12793.25,300,4.415000000000146,0.0345103863365458,green,"2.0, 1.5, 0.25","tweezer_b, marubozu",none,Bearish_Engulfing,320.0,"1.0, 3.0, 1.5","-0.312664881871015, -5.904849797826758, -2.110867449250375","55.36912751677987, 41.28035320088527, 52.52808988764463",55.36912751677987,41.28035320088527,52.52808988764463,-0.312664881871015,"Bullish_Engulfing, none","none, Bearish_Engulfing",0,none,0,0,0,,
19,Consumer Durables,TITAN-EQ,3506,3552.05,3285.45,3285.7,1040,1.9700000000000728,0.0599567824207953,green,"1.0, 0.75, 0.75","spn_top, normal",none,Bearish_Engulfing,1496.6,"0.75, 1.5, 0.5","11.869616824419868, 11.109589249568966, 13.693211210175576","65.32663316582735, 64.43298969071984, 70.6214689265544",65.32663316582735,64.43298969071984,70.6214689265544,11.869616824419868,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
21,Construction Materials,ULTRACEMCO-EQ,11532,9916.35,9616.45,9618.95,50,4.205000000000109,0.0437157901850005,green,"0.5, 1.0, 0.0","marubozu, shooting_star",none,shooting_star,1439.9,"0.0, 0.0, 0.0","6.237687065636061, 3.639596732682018, 2.1320852834105795","72.9166666666632, 69.76744186046176, 67.58104738154177",72.9166666666632,69.76744186046176,67.58104738154177,6.237687065636061,"none, none","none, shooting_star",0,none,0,0,0,,
23,Financial Services,BAJAJFINSV-EQ,16675,1614.9,1573.65,1573.95,402,0.8600000000000818,0.054639601003849,green,"1.5, 1.5, 1.5","tweezer_b, tweezer_b",none,Bearish_Engulfing,358.3,"1.5, 1.5, 0.75","6.671114076050412, 4.76598989610142, 8.258162876381366","51.57894736842216, 48.31460674157441, 55.12820512820677",51.57894736842216,48.31460674157441,55.12820512820677,6.671114076050412,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
24,Information Technology,WIPRO-EQ,3787,482.35,458.35,458.45,1925,0.2250000000000113,0.0490784164030998,green,"1.5, 1.5, 1.5","normal, normal",none,Bearish_Engulfing,2075.6,"1.0, 0.5, 1.5","3.271894426872664, 1.0908694229303233, 4.362050163576633","57.14285714285482, 50.0, 66.66666666666245",57.14285714285482,50.0,66.66666666666245,3.271894426872664,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
25,Metals & Mining,ADANIENT-EQ,25,3173.45,3063.45,3063.3,969,2.2349999999998547,0.0729605327587848,red,"1.0, 1.5, 0.75","normal, normal",none,Bearish_Engulfing,1217.4,"1.0, 2.0, 1.0","-6.855352071295364, -6.365372374284786, 3.4241549674696383","38.1395348837207, 38.67924528301737, 53.94736842105255",38.1395348837207,38.67924528301737,53.94736842105255,-6.855352071295364,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
27,Power,NTPC-EQ,11630,336.1,359.8,360.1,85021,0.314999999999992,0.0874757011941105,green,"1.5, 3.0, 0.75","normal, marubozu",none,Bearish_Engulfing,18927.3,"5.0, 3.0, 0.5","1.3885031935576608, -6.948304613674264, 11.097239561658409","46.875000000001, 34.61538461538496, 69.23076923076991",46.875000000001,34.61538461538496,69.23076923076991,1.3885031935576608,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
28,Metals & Mining,JSWSTEEL-EQ,11723,814.65,873.1,874.35,9507,0.8650000000000091,0.0989306341853959,green,"2.0, 1.5, 0.75","marubozu, marubozu",none,Bearish_Engulfing,5825.4,"2.0, 2.0, 2.0","-2.28741350717598, -16.607490550909766, -2.28741350717598","45.0, 26.666666666666668, 40.0",45.0,26.666666666666668,40.0,-2.28741350717598,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
29,Power,POWERGRID-EQ,14977,282.9,312.3,312.2,15735,0.1800000000000068,0.0576553491351719,red,"1.5, 2.0, 0.5","normal, marubozu",none,Bearish_Engulfing,16279.1,"1.0, 2.0, 0.75","3.2030749519527832, 6.404098623118433, 15.99488163787588","58.33333333333215, 63.63636363636317, 87.49999999999822",58.33333333333215,63.63636363636317,87.49999999999822,3.2030749519527832,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
35,Oil Gas & Consumable Fuels,COALINDIA-EQ,20374,440.25,462.5,462.15,44284,0.4550000000000068,0.0984528832630113,red,"1.5, 1.5, 1.0","normal, normal",none,Bearish_Engulfing,18515.8,"3.0, 2.0, 0.75","-18.392296873310023, -10.81081081081081, -1.0800302408469893","34.04255319148952, 40.00000000000057, 51.6129032258068",34.04255319148952,40.00000000000057,51.6129032258068,-18.392296873310023,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
39,Capital Goods,SIEMENS-EQ,3150,4152.0,7087.0,7090.0,7470,10.375,0.1463328631875881,green,"3.0, 1.5, 0.25","hammer, normal",none,Bearish_Engulfing,2890.2,"3.0, 1.5, 0.5","-13.25811001410386, -17.496825172851185, -2.60653324034273","40.31746031745917, 34.035087719296584, 54.03899721448462",40.31746031745917,34.035087719296584,54.03899721448462,-13.25811001410386,"hammer, none","none, Bearish_Engulfing",0,none,0,0,0,,
