id,sector,symbol,token,PC,CC1,CC2,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,rsi,rsi0,rsi1,rsi2,roc0,bulRPC,berRPC,alarmTimer,srT,srV,nSR,GL,ot,oc
3,Financial Services,HDFCBANK-EQ,1333,1444.85,1452.6,1451.95,92947,1.0904395601936714,0.0751017294117339,red,"1.5, 1.5, 0.75","normal, normal",Bullish_Engulfing,none,50727.283893690925,"2.0, 1.5, 0.75","-0.6887289507208172, -3.442103813851026, -6.198347107438643","35.064935064935604, 45.58823529411451, 45.58823529411814",35.064935064935604,45.58823529411451,45.58823529411814,-0.6887289507208172,"none, Bullish_Engulfing","Bearish_Engulfing, none",0,none,0,0,0,,
5,Fast Moving Consumer Goods,HINDUNILVR-EQ,1394,2419.5,2332.45,2331.85,530,1.4404439599558754,0.06177258228256,red,"0.75, 1.5, 1.5","normal, normal",Bullish_Engulfing,none,944.0296400429504,"0.75, 1.0, 1.0","-5.78939468662182, -6.645372891166722, -5.146901136606553","30.97345132743313, 48.03149606299223, 36.84210526315957",30.97345132743313,48.03149606299223,36.84210526315957,-5.78939468662182,"none, Bullish_Engulfing","none, none",0,none,0,0,0,,
7,Fast Moving Consumer Goods,ITC-EQ,1660,438.05,429.9,429.85,6388,0.2992360020358656,0.069614051886906,red,"0.75, 1.0, 1.0","hammer, hammer",hammer,none,11790.238271811666,"0.75, 1.0, 1.0","-1.1631964638816918, -2.326122354036351, 0.0","40.00000000000001, 50.0, 66.66666666666667",40.00000000000001,50.0,66.66666666666667,-1.1631964638816918,"hammer, hammer","none, none",0,none,0,0,0,,
8,Financial Services,SBIN-EQ,3045,642.95,819.45,818.55,28143,0.701395866471038,0.0856876020366548,red,"1.5, 1.5, 1.0","normal, normal",Bullish_Engulfing,none,25618.614088079536,"1.5, 1.5, 1.5","-19.54675951377464, -5.491488193299552, -5.49584758182762","28.571428571429603, 53.44827586206964, 45.99999999999909",28.571428571429603,53.44827586206964,45.99999999999909,-19.54675951377464,"none, Bullish_Engulfing","Bearish_Engulfing, none",0,none,0,0,0,,
9,Telecommunication,BHARTIARTL-EQ,10604,1113.55,1285.7,1283.7,12530,1.993075227485308,0.1552602031226383,red,"1.5, 1.0, 0.75","normal, hammer",hammer,none,10340.72493957521,"1.5, 0.75, 0.75","-37.78141310274915, -18.27798086645336, -7.003073571177399","26.7379679144399, 48.12834224598986, 45.5056179775285",26.7379679144399,48.12834224598986,45.5056179775285,-37.78141310274915,"none, hammer","Bearish_Engulfing, none",0,none,0,0,0,,
16,Financial Services,AXISBANK-EQ,5900,1061.5,1122.5,1120.7,15426,1.298661771874286,0.1158795192178358,red,"1.5, 1.5, 0.75","normal, normal",Bullish_Engulfing,none,24419.891856373142,"0.75, 0.5, 4.0","-24.984384759524893, -14.69933184855315, -15.158270173874682","24.44444444444497, 44.06779661016943, 41.59292035398237",24.44444444444497,44.06779661016943,41.59292035398237,-24.984384759524893,"none, Bullish_Engulfing","Bearish_Engulfing, none",0,none,0,0,0,,
22,Fast Moving Consumer Goods,NESTLEIND-EQ,17963,2462.7,2477.2,2476.75,157,2.0322936116184365,0.0820548546126349,green,"1.0, 0.75, 0.5","tweezer_t, hammer",hammer,none,491.1162740324412,"0.5, 1.0, 0.75","-1.2112647622900248, -1.0092039399321815, 2.219979818366022","46.4285714285721, 51.26903553299499, 54.54545454545537",46.4285714285721,51.26903553299499,54.54545454545537,-1.2112647622900248,"none, hammer","none, none",0,none,0,0,0,,
24,Information Technology,WIPRO-EQ,3787,482.35,455.5,455.45,7685,0.4015558975904932,0.088166845447468,green,"0.75, 0.75, 0.75","tweezer_t, hammer",hammer,Bearish_Engulfing,6708.09738513988,"1.5, 3.0, 0.5","-10.978153474585572, -10.976948408342482, -4.389815627743385","33.333333333332185, 41.66666666666588, 56.81818181818247",33.333333333332185,41.66666666666588,56.81818181818247,-10.978153474585572,"none, hammer","none, Bearish_Engulfing",0,none,0,0,0,,
27,Power,NTPC-EQ,11630,336.1,358.65,358.9,35913,0.4589430818524957,0.1278749183205616,green,"1.5, 1.5, 1.0","normal, normal",Bullish_Engulfing,none,19921.635649833333,"2.0, 0.75, 0.75","11.14516578434041, 4.182350480969672, -4.185267857143809","62.49999999999911, 53.57142857142726, 60.606060606059366",62.49999999999911,53.57142857142726,60.606060606059366,11.14516578434041,"none, Bullish_Engulfing","none, none",0,none,0,0,0,,
28,Metals & Mining,JSWSTEEL-EQ,11723,814.65,867.0,866.35,5188,1.2289899333685763,0.1418583636369338,red,"1.5, 1.0, 1.0","tweezer_b, normal",Bullish_Engulfing,none,6083.53023800396,"1.0, 0.5, 1.0","-8.65700929185664, -9.227220299884134, -10.965545103017622","39.25925925925958, 47.72727272727304, 51.74825174825178",39.25925925925958,47.72727272727304,51.74825174825178,-8.65700929185664,"none, Bullish_Engulfing","Bearish_Engulfing, none",0,none,0,0,0,,
39,Capital Goods,SIEMENS-EQ,3150,4152.0,7140.1,7145.8,16276,27.178742055232963,0.3803456863504851,green,"1.0, 1.0, 1.5","shooting_star, hammer",hammer,none,17380.621822312296,"1.0, 1.5, 1.5","120.1405021131299, 109.45224856794798, 82.90119131044098","86.06451612903243, 75.81357975090384, 77.46162485960305",86.06451612903243,75.81357975090384,77.46162485960305,120.1405021131299,"none, hammer","shooting_star, none",0,none,0,0,0,,
50,Oil Gas & Consumable Fuels,ATGL-EQ,6066,989.05,918.2,917.55,873,1.038786805205845,0.1132131006709002,red,"0.75, 1.5, 1.0","marubozu, hammer",hammer,none,1562.5071874899866,"0.75, 1.5, 0.75","-19.617459538990445, -10.346329775647265, 3.264950753660208","30.9523809523814, 45.78313253012167, 58.97435897435934",30.9523809523814,45.78313253012167,58.97435897435934,-19.617459538990445,"none, hammer","none, none",0,none,0,0,0,,
51,Construction Materials,SHREECEM-EQ,3103,26954.8,25921.1,25925.0,166,33.42116963420687,0.1289148298330062,green,"0.75, 0.75, 0.5","hammer, hammer",hammer,none,310.4008587710593,"0.75, 0.25, 0.25","-28.929604628736744, -27.602995243258547, -4.395434916718636","30.271216097987, 43.8204887218037, 54.55927051671742",30.271216097987,43.8204887218037,54.55927051671742,-28.929604628736744,"hammer, hammer","none, none",0,none,0,0,0,,
52,Power,ADANIENSOL-EQ,10217,1022.6,1024.25,1022.9,1427,1.407129042299653,0.1375627179880392,red,"0.75, 0.75, 0.75","tweezer_t, hammer",hammer,none,1659.0908696606332,"1.0, 0.5, 1.5","-18.08583439241395, -3.905296558458296, 1.953125000000444","37.58865248226841, 53.435114503817175, 56.73758865248264",37.58865248226841,53.435114503817175,56.73758865248264,-18.08583439241395,"none, hammer","Bearish_Engulfing, none",0,none,0,0,0,,
60,Healthcare,DRREDDY-EQ,881,6094.45,5930.0,5931.0,3224,6.7532231607222375,0.1138631455188372,green,"1.5, 1.5, 1.5","hammer, normal",Bullish_Engulfing,none,1442.6116296068883,"3.0, 1.5, 2.0","-26.1338728713539, -27.99325463743737, -33.755843980489125","21.94244604316592, 23.859649122809326, 35.60830860534047",21.94244604316592,23.859649122809326,35.60830860534047,-26.1338728713539,"hammer, Bullish_Engulfing","none, none",0,none,0,0,0,,
69,Capital Goods,ABB-EQ,13,4368.2,8081.4,8081.4,2130,13.657415521612288,0.168998137966346,green,"1.5, 1.5, 0.75","tweezer_t, hammer",hammer,none,2278.3734360039057,"1.0, 0.5, 0.75","41.081990744177766, 38.91652436459008, 36.39379572434862","77.27666955767522, 77.68313458262317, 77.05779334500863",77.27666955767522,77.68313458262317,77.05779334500863,41.081990744177766,"none, hammer","none, none",0,none,0,0,0,,
73,Oil Gas & Consumable Fuels,GAIL-EQ,4717,181.6,200.0,199.7,42520,0.3132142832184548,0.156842405217053,red,"1.5, 1.0, 1.0","normal, hammer",hammer,none,35340.3822174793,"1.5, 1.5, 1.5","-25.037556334501755, -17.499999999999716, -7.496251874063252","30.3030303030302, 41.37931034482752, 51.61290322580593",30.3030303030302,41.37931034482752,51.61290322580593,-25.037556334501755,"none, hammer","none, none",0,none,0,0,0,,
77,Financial Services,CHOLAFIN-EQ,685,1136.35,1245.0,1244.5,3112,1.219241387914071,0.0979703807082419,red,"1.0, 0.75, 0.5","tweezer_b, hammer",hammer,none,6019.074613042558,"0.75, 0.5, 1.5","-2.008838891120932, -0.8032128514048921, -0.4016225551223304","44.23076923076991, 50.0, 29.74683544303734",44.23076923076991,50.0,29.74683544303734,-2.008838891120932,"none, hammer","Bearish_Engulfing, none",0,none,0,0,0,,
78,Fast Moving Consumer Goods,MARICO-EQ,4067,523.2,594.5,593.85,4440,0.6326931828242109,0.106540908112185,red,"1.0, 0.75, 1.0","marubozu, hammer",hammer,none,2406.343510853142,"2.0, 1.0, 0.75","-39.57228256293715, -23.54920100925109, -9.2499159098546","24.05063291139328, 41.97530864197572, 40.963855421686944",24.05063291139328,41.97530864197572,40.963855421686944,-39.57228256293715,"none, hammer","none, none",0,none,0,0,0,,
91,Automobile and Auto Components,TVSMOTOR-EQ,8479,2024.15,2116.6,2112.05,2952,2.894858415314376,0.1370639149316718,red,"2.0, 0.75, 1.5","marubozu, hammer",hammer,none,1643.108558404233,"2.0, 1.0, 2.0","-61.31483629648832, -49.84408957762536, -49.1377273801091","0.653594771241247, 3.181818181817356, 16.470588235293405",0.653594771241247,3.181818181817356,16.470588235293405,-61.31483629648832,"none, hammer","Bearish_Engulfing, none",0,none,0,0,0,,
92,Healthcare,ZYDUSLIFE-EQ,7929,760.9,996.05,995.05,2720,1.5866897311625527,0.1594582916599721,red,"1.5, 1.5, 1.0","normal, normal",Bullish_Engulfing,none,5143.216274171669,"0.75, 1.5, 1.0","-52.76116778051354, -36.142763917474255, -59.817030260379326","26.041666666666035, 26.041666666666035, 35.15981735159793",26.041666666666035,26.041666666666035,35.15981735159793,-52.76116778051354,"none, Bullish_Engulfing","none, none",0,none,0,0,0,,
97,Healthcare,ABBOTINDIA-EQ,17903,28069.5,26613.3,26592.9,6,18.72047943993761,0.0703965323072609,red,"0.75, 1.5, 1.5","normal, hammer",hammer,none,21.198185419835472,"0.5, 0.75, 0.75","-28.99270105930476, -21.30513690523187, -24.86842105263213","0.0496937111300808, 0.0249018436725899, 0.0489493668872067",0.0496937111300808,0.0249018436725899,0.0489493668872067,-28.99270105930476,"none, hammer","Bearish_Engulfing, none",0,none,0,0,0,,
100,Consumer Services,INDHOTEL-EQ,1512,509.1,564.4,563.75,1833,0.7103634861039432,0.1260068268033602,red,"1.5, 0.75, 1.0","normal, hammer",hammer,none,3319.5712836168027,"0.75, 0.75, 1.0","-31.042128603104214, -15.060240963855826, -20.381036774479","25.80645161290251, 30.76923076923009, 38.98305084745776",25.80645161290251,30.76923076923009,38.98305084745776,-31.042128603104214,"none, hammer","Bearish_Engulfing, none",0,none,0,0,0,,
102,Consumer Services,IRCTC-EQ,13611,946.65,1023.9,1023.0,1271,1.3117003113016723,0.1282209492963511,red,"1.0, 1.0, 1.0","normal, hammer",hammer,none,2413.7568915485404,"0.75, 0.75, 1.5","-16.617790811339642, -1.464986815118442, 4.395604395604839","38.70967741935555, 56.66666666666676, 62.49999999999945",38.70967741935555,56.66666666666676,62.49999999999945,-16.617790811339642,"none, hammer","Bearish_Engulfing, none",0,none,0,0,0,,
103,Capital Goods,CGPOWER-EQ,760,439.65,634.9,635.15,26749,1.5816850807315004,0.2490254397750925,green,"1.5, 0.75, 0.5","shooting_star, hammer",hammer,none,30909.59267782056,"1.0, 1.0, 0.75","-25.190899787452143, 8.662781540399347, 7.877116975187081","53.96039603960369, 53.266331658291286, 54.63414634146354",53.96039603960369,53.266331658291286,54.63414634146354,-25.190899787452143,"none, hammer","shooting_star, none",0,none,0,0,0,,
