id,sector,symbol,token,PC,CC1,CC2,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,rsi,rsi0,rsi1,rsi2,roc0,bulRPC,berRPC,alarmTimer,srT,srV,nSR,GL,ot,oc
5,Fast Moving Consumer Goods,HINDUNILVR-EQ,1394,2419.5,2231.0,2230.8,4258,3.9717401207183873,0.1780410669140392,red,"0.5, 0.75, 0.75","shooting_star, normal",none,Bearish_Engulfing,7401.101269897001,"0.75, 1.0, 0.75","-14.7928994082828, -13.895114298520436, -10.305582937537984","8.092485549135594, 8.28402366864157, 9.150326797388535",8.092485549135594,8.28402366864157,9.150326797388535,-14.7928994082828,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
7,Fast Moving Consumer Goods,ITC-EQ,1660,438.05,429.2,429.25,36086,0.6374154206374953,0.1484951474985429,green,"1.5, 0.75, 0.75","spn_top, tweezer_b",none,none,34759.11806813313,"1.5, 1.0, 1.0","-36.10949330227167, -37.27865796831368, -36.10949330227167","11.11111111111111, 9.09090909090862, 9.302325581394918",11.11111111111111,9.09090909090862,9.302325581394918,-36.10949330227167,"none, none","none, none",0,none,0,0,0,,
10,Financial Services,KOTAKBANK-EQ,1922,1808.35,1658.55,1658.55,98787,8.36072963335726,0.5040987388596823,green,"0.0, 0.0, 0.5","doji, doji",none,none,727150.6748578231,"0.25, 0.25, 1.5","-111.24174730939704, -111.24174730939704, -111.24174730939704","39.40886699507383, 39.40886699507383, 39.40886699507383",39.40886699507383,39.40886699507383,39.40886699507383,-111.24174730939704,"none, none","none, none",0,none,0,0,0,,
11,Financial Services,BAJFINANCE-EQ,317,6608.2,7288.85,7296.45,1542,17.678379039728018,0.2422874005814885,green,"0.5, 1.0, 0.75","normal, tweezer_t",none,none,3345.026628041597,"0.5, 0.75, 1.5","-13.568242090332348, -24.00927443972644, -29.582143641555263","34.091986723565284, 28.97291773122113, 25.906183368869616",34.091986723565284,28.97291773122113,25.906183368869616,-13.568242090332348,"none, none","none, none",0,none,0,0,0,,
12,Financial Services,LICI-EQ,9480,998.85,987.6,987.75,7342,2.2931348116152988,0.2321574094270107,green,"0.5, 0.75, 1.0","normal, tweezer_t",none,none,10312.346952151238,"0.75, 1.5, 1.5","-53.15110098709187, -54.67800729040074, -45.52352048558422","9.944751381215267, 8.426966292134853, 9.375",9.944751381215267,8.426966292134853,9.375,-53.15110098709187,"none, none","none, none",0,none,0,0,0,,
15,Consumer Durables,ASIANPAINT-EQ,236,2917.35,2846.0,2844.05,5106,5.086369139984545,0.1788424654976018,red,"0.75, 0.5, 0.5","normal, shooting_star",none,none,4132.993510017438,"1.5, 0.5, 0.25","-27.77728942880623, -20.906535488404145, -19.850332009976587","3.3407572383092665, 3.65853658536791, 3.712871287130832",3.3407572383092665,3.65853658536791,3.712871287130832,-27.77728942880623,"none, none","none, none",0,none,0,0,0,,
17,Automobile and Auto Components,MARUTI-EQ,10999,10428.55,12860.05,12862.35,2318,38.45381959751919,0.2989641830421283,red,"0.75, 0.5, 0.5","spn_top, spn_top",none,none,2221.0733401220728,"1.5, 0.5, 1.5","-6.725054130854499, -8.514741389030934, -8.475828337259925","29.01094362998177, 28.33020637898691, 28.33611342785672",29.01094362998177,28.33020637898691,28.33611342785672,-6.725054130854499,"none, none","none, none",0,none,0,0,0,,
19,Consumer Durables,TITAN-EQ,3506,3552.05,3570.45,3571.2,2939,8.977992883112666,0.2513998903201351,green,"0.5, 0.75, 1.0","hammer, normal",none,none,5044.593954709999,"0.75, 0.75, 1.5","-50.5432347670256, -52.6544273130843, -64.63462509113394","24.353448275861677, 23.11062431544317, 15.217391304347302",24.35344827586168,23.11062431544317,15.217391304347302,-50.5432347670256,"none, none","none, none",0,none,0,0,0,,
22,Fast Moving Consumer Goods,NESTLEIND-EQ,17963,2462.7,2510.7,2506.7,2481,7.04521077738776,0.2810552031510656,red,"0.75, 0.75, 0.75","normal, normal",none,Bearish_Engulfing,2194.060915373504,"1.5, 1.0, 1.0","2.991981489607852, 18.919026566296253, 32.02068416865625","32.16689098250319, 36.04826546003001, 40.03350083752106",32.16689098250319,36.04826546003001,40.03350083752106,2.991981489607852,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
23,Financial Services,BAJAJFINSV-EQ,16675,1614.9,1620.05,1619.3,3875,4.797537962283026,0.296272337570742,red,"0.75, 0.75, 0.75","normal, hammer",hammer,none,3624.0525979630393,"1.5, 1.5, 0.5","-25.010807138886893, -20.36974167463939, -29.966017917824583","21.84210526315811, 22.73972602739748, 15.568862275449662",21.84210526315811,22.73972602739748,15.568862275449662,-25.010807138886893,"none, hammer","none, none",0,none,0,0,0,,
