id,sector,symbol,token,PC,CC1,CC2,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,rsi,rsi0,rsi1,rsi2,roc0,bulRPC,berRPC,alarmTimer,srT,srV,nSR,GL,ot,oc
1,Oil Gas & Consumable Fuels,RELIANCE-EQ,2885,2878.05,2842.55,2842.1,3805,3.33316093470732,0.1172781019213722,red,"1.0, 1.0, 1.5","hammer, shooting_star",none,shooting_star,7360.985184804281,"0.75, 0.75, 1.5","11.25928010977734, 7.915428048759036, 17.41210405051205","57.258064516127874, 66.20209059233491, 71.11111111111079",57.258064516127874,66.20209059233491,71.11111111111079,11.25928010977734,"hammer, none","none, shooting_star",0,none,0,0,0,,
2,Information Technology,TCS-EQ,11536,3973.3,3887.75,3888.5,1111,3.232456548892367,0.0831286241196442,green,"1.0, 1.0, 1.0","normal, normal",none,none,1949.2279570268736,"0.75, 0.5, 1.0","0.2571685740000233, -1.6719182046173005, 5.273040615273111","50.43103448275823, 57.72058823529383, 62.04620462046113",50.43103448275823,57.72058823529383,62.04620462046113,0.2571685740000233,"none, none","none, none",0,none,0,0,0,,
3,Financial Services,HDFCBANK-EQ,1333,1444.85,1452.6,1451.95,92947,1.0904395601936714,0.0751017294117339,red,"1.5, 1.5, 0.75","normal, normal",Bullish_Engulfing,none,50727.283893690925,"2.0, 1.5, 0.75","-0.6887289507208172, -3.442103813851026, -6.198347107438643","35.064935064935604, 45.58823529411451, 45.58823529411814",35.064935064935604,45.58823529411451,45.58823529411814,-0.6887289507208172,"none, Bullish_Engulfing","Bearish_Engulfing, none",0,none,0,0,0,,
4,Financial Services,ICICIBANK-EQ,4963,1023.5,1117.6,1116.45,54950,1.3456273967281371,0.1205273318758687,red,"2.0, 1.5, 1.5","normal, shooting_star",none,shooting_star,23517.09490696812,"3.0, 1.0, 0.75","-27.318733485601275, -17.89549033643522, -19.681517266058737","13.793103448274785, 16.66666666666456, 43.434343434342274",13.793103448274785,16.66666666666456,43.434343434342274,-27.318733485601275,"none, none","none, shooting_star",0,none,0,0,0,,
5,Fast Moving Consumer Goods,HINDUNILVR-EQ,1394,2419.5,2332.45,2331.85,530,1.4404439599558754,0.06177258228256,red,"0.75, 1.5, 1.5","normal, normal",Bullish_Engulfing,none,944.0296400429504,"0.75, 1.0, 1.0","-5.78939468662182, -6.645372891166722, -5.146901136606553","30.97345132743313, 48.03149606299223, 36.84210526315957",30.97345132743313,48.03149606299223,36.84210526315957,-5.78939468662182,"none, Bullish_Engulfing","none, none",0,none,0,0,0,,
6,Information Technology,INFY-EQ,1594,1687.2,1421.15,1421.1,4432,0.6467101573264925,0.0455077163694667,green,"1.5, 0.75, 1.0","shooting_star, shooting_star",none,shooting_star,5299.739918586519,"1.0, 0.75, 0.75","-5.277601857715855, -3.518277451359814, 2.110743685358155","39.21568627450508, 52.38095238095409, 61.42857142857152",39.21568627450508,52.38095238095409,61.42857142857152,-5.277601857715855,"none, none","shooting_star, shooting_star",0,none,0,0,0,,
7,Fast Moving Consumer Goods,ITC-EQ,1660,438.05,429.9,429.85,6388,0.2992360020358656,0.069614051886906,red,"0.75, 1.0, 1.0","hammer, hammer",hammer,none,11790.238271811666,"0.75, 1.0, 1.0","-1.1631964638816918, -2.326122354036351, 0.0","40.00000000000001, 50.0, 66.66666666666667",40.00000000000001,50.0,66.66666666666667,-1.1631964638816918,"hammer, hammer","none, none",0,none,0,0,0,,
8,Financial Services,SBIN-EQ,3045,642.95,819.45,818.55,28143,0.701395866471038,0.0856876020366548,red,"1.5, 1.5, 1.0","normal, normal",Bullish_Engulfing,none,25618.614088079536,"1.5, 1.5, 1.5","-19.54675951377464, -5.491488193299552, -5.49584758182762","28.571428571429603, 53.44827586206964, 45.99999999999909",28.571428571429603,53.44827586206964,45.99999999999909,-19.54675951377464,"none, Bullish_Engulfing","Bearish_Engulfing, none",0,none,0,0,0,,
9,Telecommunication,BHARTIARTL-EQ,10604,1113.55,1285.7,1283.7,12530,1.993075227485308,0.1552602031226383,red,"1.5, 1.0, 0.75","normal, hammer",hammer,none,10340.72493957521,"1.5, 0.75, 0.75","-37.78141310274915, -18.27798086645336, -7.003073571177399","26.7379679144399, 48.12834224598986, 45.5056179775285",26.7379679144399,48.12834224598986,45.5056179775285,-37.78141310274915,"none, hammer","Bearish_Engulfing, none",0,none,0,0,0,,
10,Financial Services,KOTAKBANK-EQ,1922,1808.35,1638.55,1637.6,17019,0.970378015993942,0.0592561074739827,red,"2.0, 1.0, 0.75","normal, normal",none,none,8325.204662198965,"3.0, 1.0, 0.5","-11.602344894968804, -11.900765921089048, -7.9321496125447215","10.810810810812468, 22.950819672131267, 43.6619718309888",10.810810810812468,22.950819672131267,43.6619718309888,-11.602344894968804,"none, none","none, none",0,none,0,0,0,,
