id,sector,symbol,token,PC,CC1,CC2,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,rsi,rsi0,rsi1,rsi2,roc0,bulRPC,berRPC,alarmTimer,srT,srV,nSR,GL,ot,oc
3,Financial Services,HDFCBANK-EQ,1333,1444.85,1464.45,1463.65,66248,1.1217979169235712,0.0766438641016343,red,"1.0, 1.5, 1.0","normal, spn_top",none,none,97447.62794553104,"0.75, 1.5, 1.0","24.596044136235687, 32.43538529823483, 37.91760606681666","85.58558558558629, 100.0, 100.0",85.58558558558629,100.0,100.0,24.596044136235687,"none, none","Bearish_Engulfing, none",0,none,0,0,0,,
21,Construction Materials,ULTRACEMCO-EQ,11532,9916.35,9685.0,9687.2,889,6.708472183498738,0.0692508896636668,green,"1.0, 1.5, 1.5","normal, marubozu",none,none,795.6650569485838,"1.5, 1.5, 0.75","26.633082830953303, 27.258647392875208, 28.41642986308448","90.85714285714126, 92.2705314009647, 91.67750325097356",90.85714285714126,92.2705314009647,91.67750325097356,26.633082830953303,"none, none","none, none",0,none,0,0,0,,
39,Capital Goods,SIEMENS-EQ,3150,4152.0,6660.0,6670.0,8516,15.853050138862711,0.2376769136261276,green,"1.5, 1.0, 1.5","normal, normal",none,none,6998.870003367583,"1.5, 1.5, 1.5","91.90404797601228, 65.54054054054, 86.61092572456977","78.73594001071206, 77.87068004459286, 82.85883748517136",78.73594001071206,77.87068004459286,82.85883748517136,91.90404797601228,"Bullish_Engulfing, none","none, none",0,none,0,0,0,,
47,Metals & Mining,VEDL-EQ,3063,273.6,433.35,433.7,111514,0.5874909129705664,0.1354602058959111,green,"1.5, 1.0, 2.0","normal, hammer",hammer,none,64718.28748306566,"2.0, 1.5, 1.5","40.35047267696565, 34.61405330564209, 51.93905817174515","83.6363636363651, 86.36363636363802, 85.93750000000159",83.6363636363651,86.36363636363802,85.93750000000159,40.35047267696565,"none, hammer","none, none",0,none,0,0,0,,
65,Services,INDIGO-EQ,11195,3171.15,4150.75,4150.7,2577,3.415136991216998,0.0822785793051051,green,"0.75, 1.5, 1.5","tweezer_t, hammer",hammer,none,2344.784787992689,"1.5, 1.5, 1.5","35.77709783891743, 27.22399566343476, 32.771084337350274","77.77777777778027, 80.86021505376664, 82.41106719367842",77.77777777778027,80.86021505376664,82.41106719367842,35.77709783891743,"none, hammer","none, none",0,none,0,0,0,,
71,Healthcare,MANKIND-EQ,15380,2057.45,2249.8,2249.8,785,0.142581083588107,0.0063375003817275,green,"0.5, 0.5, 0.5","hammer, marubozu",none,none,1312.4191032321212,"0.75, 1.5, 0.75","0.0, 1.1112098853231396, 2.0002222469155155","72.72727272722761, 81.24999999995737, 50.0",72.72727272722761,81.24999999995737,50.0,0.0,"none, none","none, none",0,none,0,0,0,,
72,Financial Services,SBICARD-EQ,17971,703.15,719.0,719.15,3935,0.3048661091737906,0.042392561937536,green,"1.0, 0.75, 1.5","normal, tweezer_t",none,none,2717.2646143331003,"1.5, 1.0, 1.0","11.124243899046856, 9.040333796939878, 13.908205841446453","78.57142857142046, 81.2499999999929, 82.35294117646391",78.57142857142046,81.2499999999929,82.35294117646391,11.124243899046856,"none, none","none, none",0,none,0,0,0,,
89,Financial Services,CANBK-EQ,10794,520.25,566.5,566.55,49687,0.6691614644444108,0.118111634356087,green,"1.5, 1.0, 3.0","hammer, normal",none,none,51908.33179318956,"1.0, 0.75, 1.5","41.47912805577459, 44.13062665489849, 50.331125827814965","80.72289156626552, 82.97872340425604, 82.41758241758323",80.72289156626552,82.97872340425604,82.41758241758323,41.47912805577459,"hammer, none","none, none",0,none,0,0,0,,
99,Automobile and Auto Components,HEROMOTOCO-EQ,1348,4746.65,5048.9,5047.0,5441,4.266552153914193,0.0845364009097323,red,"0.75, 0.75, 0.75","normal, hammer",hammer,none,6007.69661031834,"1.0, 1.0, 1.5","9.906875371507828, 15.64697260789407, 18.524939323394648","68.40490797546094, 81.42857142857143, 82.80423280423247",68.40490797546094,81.42857142857143,82.80423280423247,9.906875371507828,"none, hammer","none, none",0,none,0,0,0,,
103,Capital Goods,CGPOWER-EQ,760,439.65,608.3,608.0,26661,0.5738126168910473,0.0943770751465538,green,"1.0, 1.5, 1.5","shooting_star, spn_top",none,none,17037.11852869403,"2.0, 2.0, 1.0","0.0, 9.041591320071586, 18.89582648701901","56.097560975609895, 70.73170731707141, 86.36363636363801",56.097560975609895,70.73170731707141,86.36363636363801,0.0,"none, none","shooting_star, none",0,none,0,0,0,,
