time,O,H,L,C,V,atr,g,s,t,p,atrV,vs
2023-09-29T10:00:00+05:30,2348.95,2349.6,2347.7,2349.55,4977,1.65,green,L,tweezer_b,none,5472.2,M
2023-09-29T10:01:00+05:30,2349.6,2351.9,2349.15,2351.9,3896,1.65,green,XL,marubozu,none,5472.2,M
2023-09-29T10:02:00+05:30,2351.5,2352.75,2351.3,2352.75,5436,1.65,green,M,marubozu,none,5472.2,M
2023-09-29T10:03:00+05:30,2353.0,2353.95,2352.0,2353.3,6464,1.65,green,L,spn_top,none,5472.2,L
2023-09-29T10:04:00+05:30,2353.95,2354.5,2353.1,2353.25,13396,1.65,red,M,tweezer_t,none,5472.2,XL
2023-09-29T10:05:00+05:30,2353.3,2354.35,2353.0,2354.3,5286,1.65,green,M,normal,none,5472.2,M
2023-09-29T10:06:00+05:30,2354.35,2354.45,2352.15,2352.75,3991,1.65,red,L,normal,Bearish_Engulfing,5472.2,M
2023-09-29T10:07:00+05:30,2352.2,2352.95,2351.65,2352.95,4264,1.65,green,M,tweezer_b,none,5472.2,M
2023-09-29T10:08:00+05:30,2352.95,2352.95,2352.1,2352.5,2476,1.65,red,M,tweezer_b,dark_cloud_cover,5472.2,S
2023-09-29T10:09:00+05:30,2352.45,2352.9,2351.6,2352.1,4536,1.65,red,M,normal,none,5472.2,M
