id,symbol,token
1,RELIANCE-EQ,2885
2,TCS-EQ,11536
3,HDFCBANK-EQ,1333
4,ICICIBANK-EQ,4963
5,HINDUNILVR-EQ,1394
6,INFY-EQ,1594
7,ITC-EQ,1660
8,SBIN-EQ,3045
9,BHARTIARTL-EQ,10604
10,KOTAKBANK-EQ,1922
11,BAJFINANCE-EQ,317
12,LICI-EQ,9480
13,LT-EQ,11483
14,HCLTECH-EQ,7229
15,ASIANPAINT-EQ,236
16,AXISBANK-EQ,5900
17,MARUTI-EQ,10999
18,SUNPHARMA-EQ,3351
19,TITAN-EQ,3506
20,DMART-EQ,19913
21,ULTRACEMCO-EQ,11532
22,NESTLEIND-EQ,17963
23,BAJAJFINSV-EQ,16675
24,WIPRO-EQ,3787
25,ADANIENT-EQ,25
26,ONGC-EQ,2475
27,NTPC-EQ,11630
28,JSWSTEEL-EQ,11723
29,POWERGRID-EQ,14977
30,M&M-EQ,2031
31,LTIM-EQ,17818
32,TATAMOTORS-EQ,3456
33,ADANIGREEN-EQ,3563
34,ADANIPORTS-EQ,15083
35,COALINDIA-EQ,20374
36,TATASTEEL-EQ,3499
37,HINDZINC-EQ,1424
38,PIDILITIND-EQ,2664
39,SIEMENS-EQ,3150
40,SBILIFE-EQ,21808
41,IOC-EQ,1624
42,BAJAJ-AUTO-EQ,16669
43,GRASIM-EQ,1232
44,TECHM-EQ,13538
45,HDFCLIFE-EQ,467
46,BRITANNIA-EQ,547
47,VEDL-EQ,3063
48,GODREJCP-EQ,10099
49,DABUR-EQ,772
50,ATGL-EQ,6066
51,SHREECEM-EQ,3103
52,ADANIENSOL-EQ,10217
53,HAL-EQ,2303
54,HINDALCO-EQ,1363
55,VBL-EQ,18921
56,DLF-EQ,14732
57,BANKBARODA-EQ,4668
58,INDUSINDBK-EQ,5258
59,EICHERMOT-EQ,910
60,DRREDDY-EQ,881
61,DIVISLAB-EQ,10940
62,BPCL-EQ,526
63,HAVELLS-EQ,9819
64,ADANIPOWER-EQ,17388
65,INDIGO-EQ,11195
66,CIPLA-EQ,694
67,AMBUJACEM-EQ,1270
68,SRF-EQ,3273
69,ABB-EQ,13
70,BEL-EQ,383
71,MANKIND-EQ,15380
72,SBICARD-EQ,17971
73,GAIL-EQ,4717
74,BAJAJHLDNG-EQ,305
75,TATACONSUM-EQ,3432
76,ICICIPRULI-EQ,18652
77,CHOLAFIN-EQ,685
78,MARICO-EQ,4067
79,APOLLOHOSP-EQ,157
80,TATAPOWER-EQ,3426
81,BOSCHLTD-EQ,2181
82,BERGEPAINT-EQ,404
83,JINDALSTEL-EQ,6733
84,MCDOWELL-N-EQ,10447
85,UPL-EQ,11287
86,AWL-EQ,8110
87,ICICIGI-EQ,21770
88,TORNTPHARM-EQ,3518
89,CANBK-EQ,10794
90,PNB-EQ,10666
91,TVSMOTOR-EQ,8479
92,ZYDUSLIFE-EQ,7929
93,TIINDIA-EQ,312
94,TRENT-EQ,1964
95,IDBI-EQ,1476
96,NAUKRI-EQ,13751
97,ABBOTINDIA-EQ,17903
98,SHRIRAMFIN-EQ,4306
99,HEROMOTOCO-EQ,1348
100,INDHOTEL-EQ,1512
101,PIIND-EQ,24184
102,IRCTC-EQ,13611
103,CGPOWER-EQ,760
104,UNIONBANK-EQ,10753
105,MOTHERSON-EQ,4204
106,CUMMINSIND-EQ,1901
107,SCHAEFFLER-EQ,1011
108,LODHA-EQ,3220
109,ZOMATO-EQ,5097
110,PGHH-EQ,2535
111,YESBANK-EQ,11915
112,POLYCAB-EQ,9590
113,MAXHEALTH-EQ,22377
114,IOB-EQ,9348
115,PAGEIND-EQ,14413
116,COLPAL-EQ,15141
117,ASHOKLEY-EQ,212
118,ALKEM-EQ,11703
119,NHPC-EQ,17400
120,Nifty 50,99926000
