id,disc,sector,symbol,token,cap,ltp
1,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE-EQ,2885,1577069,1.1
2,Tata Consultancy Services Ltd.,Information Technology,TCS-EQ,11536,1173055,1.1
3,HDFC Bank Ltd.,Financial Services,HDFCBANK-EQ,1333,898087,1.1
4,ICICI Bank Ltd.,Financial Services,ICICIBANK-EQ,4963,612482,1.1
5,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR-EQ,1394,601577,1.1
6,Infosys Ltd.,Information Technology,INFY-EQ,1594,592393,1.1
7,ITC Ltd.,Fast Moving Consumer Goods,ITC-EQ,1660,476322,1.1
8,State Bank of India,Financial Services,SBIN-EQ,3045,467426,1.1
9,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL-EQ,10604,417577,1.1
10,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK-EQ,1922,344231,1.1
11,Bajaj Finance Ltd.,Financial Services,BAJFINANCE-EQ,317,340054,1.1
12,Life Insurance Corporation of India,Financial Services,LICI-EQ,9480,337976,1.1
13,Larsen & Toubro Ltd.,Construction,LT-EQ,11483,304164,1.1
14,HCL Technologies Ltd.,Information Technology,HCLTECH-EQ,7229,294500,1.1
15,Asian Paints Ltd.,Consumer Durables,ASIANPAINT-EQ,236,264896,1.1
16,Axis Bank Ltd.,Financial Services,AXISBANK-EQ,5900,264120,1.1
17,Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI-EQ,10999,250489,1.1
18,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA-EQ,3351,235878,1.1
19,Titan Company Ltd.,Consumer Durables,TITAN-EQ,3506,223269,1.1
20,Avenue Supermarts Ltd.,Consumer Services,DMART-EQ,19913,220311,1.1
21,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO-EQ,11532,220038,1.1
22,Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND-EQ,17963,217000,1.1
23,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV-EQ,16675,201730,1.1
24,Wipro Ltd.,Information Technology,WIPRO-EQ,3787,200446,1.1
25,Adani Enterprises Ltd.,Metals & Mining,ADANIENT-EQ,25,199551,1.1
26,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC-EQ,2475,190025,1.1
27,NTPC Ltd.,Power,NTPC-EQ,11630,169788,1.1
28,JSW Steel Ltd.,Metals & Mining,JSWSTEEL-EQ,11723,166328,1.1
29,Power Grid Corporation of India Ltd.,Power,POWERGRID-EQ,14977,157435,1.1
30,Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M-EQ,2031,144087,1.1
31,LTIMindtree Ltd.,Information Technology,LTIM-EQ,17818,140799,1.1
32,Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS-EQ,3456,139762,1.1
33,Adani Green Energy Ltd.,Power,ADANIGREEN-EQ,3563,139577,1.1
34,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS-EQ,15083,136499,1.1
35,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA-EQ,20374,131666,1.1
36,Tata Steel Ltd.,Metals & Mining,TATASTEEL-EQ,3499,127715,1.1
37,Hindustan Zinc Ltd.,Metals & Mining,HINDZINC-EQ,1424,123949,1.1
38,Pidilite Industries Ltd.,Chemicals,PIDILITIND-EQ,2664,119606,1.1
39,Siemens Ltd.,Capital Goods,SIEMENS-EQ,3150,118486,1.1
40,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE-EQ,21808,110206,1.1
41,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC-EQ,1624,110004,1.1
42,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO-EQ,16669,109921,1.1
43,Grasim Industries Ltd.,Construction Materials,GRASIM-EQ,1232,107502,1.1
44,Tech Mahindra Ltd.,Information Technology,TECHM-EQ,13538,107336,1.1
45,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE-EQ,467,107296,1.1
46,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA-EQ,547,104106,1.1
47,Vedanta Ltd.,Metals & Mining,VEDL-EQ,3063,102018,1.1
48,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP-EQ,10099,99012,1.1
49,Dabur India Ltd.,Fast Moving Consumer Goods,DABUR-EQ,772,96543,1.1
50,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL-EQ,6066,95436,1.1
51,Shree Cement Ltd.,Construction Materials,SHREECEM-EQ,3103,94484,1.1
52,Adani Energy Solutions Ltd.,Power,ADANIENSOL-EQ,10217,93695,1.1
53,Hindustan Aeronautics Ltd.,Capital Goods,HAL-EQ,2303,91324,1.1
54,Hindalco Industries Ltd.,Metals & Mining,HINDALCO-EQ,1363,91090,1.1
55,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL-EQ,18921,90093,1.1
56,DLF Ltd.,Realty,DLF-EQ,14732,88294,1.1
57,Bank of Baroda,Financial Services,BANKBARODA-EQ,4668,87318,1.1
58,IndusInd Bank Ltd.,Financial Services,INDUSINDBK-EQ,5258,82857,1.1
59,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT-EQ,910,80645,1.1
60,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY-EQ,881,76981,1.1
61,Divi's Laboratories Ltd.,Healthcare,DIVISLAB-EQ,10940,74951,1.1
62,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL-EQ,526,74687,1.1
63,Havells India Ltd.,Consumer Durables,HAVELLS-EQ,9819,74460,1.1
64,Adani Power Ltd.,Power,ADANIPOWER-EQ,17388,73898,1.1
65,InterGlobe Aviation Ltd.,Services,INDIGO-EQ,11195,73664,1.1
66,Cipla Ltd.,Healthcare,CIPLA-EQ,694,72683,1.1
67,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM-EQ,1270,72585,1.1
68,SRF Ltd.,Chemicals,SRF-EQ,3273,71493,1.1
69,ABB India Ltd.,Capital Goods,ABB-EQ,13,71310,1.1
70,Bharat Electronics Ltd.,Capital Goods,BEL-EQ,383,71306,1.1
71,Mankind Pharma Ltd.,Healthcare,MANKIND-EQ,15380,70153,1.1
72,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD-EQ,17971,70028,1.1
73,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL-EQ,4717,69137,1.1
74,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG-EQ,305,65886,1.1
75,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM-EQ,3432,65852,1.1
76,ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI-EQ,18652,62678,1.1
77,Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN-EQ,685,62581,1.1
78,Marico Ltd.,Fast Moving Consumer Goods,MARICO-EQ,4067,62040,1.1
79,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP-EQ,157,61984,1.1
80,Tata Power Co. Ltd.,Power,TATAPOWER-EQ,3426,60791,1.1
81,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD-EQ,2181,57128,1.1
82,Berger Paints India Ltd.,Consumer Durables,BERGEPAINT-EQ,404,56507,1.1
83,Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL-EQ,6733,55717,1.1
84,United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N-EQ,10447,55009,1.1
85,UPL Ltd.,Chemicals,UPL-EQ,11287,53867,1.1
86,Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL-EQ,8110,52747,1.1
87,ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI-EQ,21770,52525,1.1
88,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM-EQ,3518,52024,1.1
89,Canara Bank,Financial Services,CANBK-EQ,10794,51602,1.1
