id,sector,symbol,token,PC,CC1,CC2,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,rsi,rsi0,rsi1,rsi2,roc0,bulRPC,berRPC,alarmTimer,srT,srV,nSR,GL,ot,oc
98,Financial Services,SHRIRAMFIN-EQ,4306,2357.1,2316.3,2315.1,4329,4.061345042662413,0.1754284930526721,red,"1.0, 0.75, 1.5","shooting_star, shooting_star",Bullish_Engulfing,shooting_star,4425.450249847591,"1.0, 1.5, 0.75","74.07887348278732, 81.16392522557605, 86.36697326942179","93.78109452736118, 99.75845410627932, 89.5089285714272",93.78109452736118,99.75845410627932,89.5089285714272,74.07887348278732,"none, Bullish_Engulfing","shooting_star, shooting_star",0,1715718731.2702365,0,0,0,sell,ETFBearishReversalPatternToSell
21,Construction Materials,ULTRACEMCO-EQ,11532,9916.35,9565.45,9565.0,157,9.576270627970716,0.1001178319704204,red,"1.0, 0.75, 1.0","normal, shooting_star",Bullish_Engulfing,shooting_star,509.7093407499175,"0.5, 0.5, 2.0","43.33507579717797, 37.21727676167912, 34.82735359176808","79.073614557484, 80.22690437601261, 79.51301427371934",79.073614557484,80.22690437601261,79.51301427371934,43.33507579717797,"none, Bullish_Engulfing","none, shooting_star",0,1715718766.0080462,0,0,0,sell,ETFBearishReversalPatternToSell
3,Financial Services,HDFCBANK-EQ,1333,1444.85,1455.0,1456.4,38370,1.8976917112895588,0.1303001724313072,green,"1.5, 1.0, 1.5","normal, normal",none,none,41987.25861609999,"1.0, 0.75, 2.0","69.69239219994569, 67.69759450171759, 63.9570868578499","89.7526501766782, 88.93129770992344, 83.65758754863724",89.7526501766782,88.93129770992344,83.65758754863724,69.69239219994569,"none, none","none, none",0,1715718766.1176796,0,0,0,buy,ETFNiftyRSIDivergenceForBuy
18,Healthcare,SUNPHARMA-EQ,3351,1463.8,1521.45,1522.55,11987,1.52049575249467,0.0998650784863991,green,"2.0, 1.5, 1.5","normal, marubozu",none,none,9489.622387606603,"1.5, 2.0, 3.0","36.45200486026702, 35.82109172171314, 22.044549731847045","97.8102189781009, 92.56198347107384, 80.85106382978641",97.8102189781009,92.56198347107384,80.85106382978641,36.45200486026702,"none, none","none, none",0,1715718766.1585426,0,0,0,buy,ETFNiftyRSIDivergenceForBuy
7,Fast Moving Consumer Goods,ITC-EQ,1660,438.05,432.7,432.8,24812,0.4847029768969628,0.1119923698930135,green,"1.5, 1.5, 1.5","normal, normal",Bullish_Engulfing,none,19556.095185497816,"1.5, 1.5, 2.0","34.658040665434385, 35.821585394037704, 27.75529085231977","94.59459459459634, 94.28571428571604, 78.78787878788056",94.59459459459634,94.28571428571604,78.78787878788056,34.658040665434385,"none, Bullish_Engulfing","none, none",0,1715718766.3997357,0,0,0,buy,ETFNiftyBullishReversalPatternToBuy
10,Financial Services,KOTAKBANK-EQ,1922,1808.35,1629.9,1632.7,23462,2.9787004639663244,0.1824401582633873,green,"1.5, 1.0, 1.5","marubozu, marubozu",none,none,27428.68775494494,"1.0, 0.75, 1.0","83.60384638941686, 70.55647585741457, 60.518554927500055","87.63157894736786, 86.0534124629075, 79.22077922077905",87.63157894736786,86.0534124629075,79.22077922077905,83.60384638941686,"none, none","none, none",0,1715718766.4555488,0,0,0,buy,ETFNiftyRSIDivergenceForBuy
49,Fast Moving Consumer Goods,DABUR-EQ,772,533.65,551.95,552.45,5787,0.4230660174047075,0.0765799651379686,green,"1.5, 1.5, 1.5","marubozu, normal",none,Bearish_Engulfing,4618.963751966964,"1.5, 0.75, 2.0","17.196126346276504, 9.96467071292813, 14.4875045273464","80.0, 72.00000000000072, 72.00000000000072",80.0,72.00000000000072,72.00000000000072,17.196126346276504,"Bullish_Engulfing, none","none, Bearish_Engulfing",0,1715718766.4804654,0,0,0,buy,ETFNiftyRSIDivergenceForBuy
15,Consumer Durables,ASIANPAINT-EQ,236,2917.35,2870.95,2875.0,8184,3.47593182941175,0.1209019766751913,green,"2.0, 1.5, 1.5","normal, marubozu",none,none,4722.127491479115,"2.0, 1.5, 2.0","34.43478260869597, 22.988906111217226, 11.85701830863153","79.83193277310966, 74.37722419928839, 46.20462046204592",79.83193277310966,74.37722419928839,46.20462046204592,34.43478260869597,"none, none","none, none",0,1715718766.7844489,0,0,0,buy,ETFNiftyRSIDivergenceForBuy
39,Capital Goods,SIEMENS-EQ,3150,4152.0,6608.0,6621.15,10127,14.324020722775591,0.2163373541269355,green,"1.5, 1.0, 2.0","normal, normal",none,none,4679.2686490862025,"3.0, 1.0, 1.0","45.53589633220761, 27.542372881355657, 24.540992546809395","69.63055729492778, 66.08391608391608, 62.519319938176096",69.63055729492778,66.08391608391608,62.519319938176096,45.53589633220761,"none, none","none, none",0,1715718766.8721557,0,0,0,buy,ETFNiftyRSIDivergenceForBuy
29,Power,POWERGRID-EQ,14977,282.9,305.6,305.8,35970,0.4408953642093295,0.1441776861377794,green,"1.5, 1.0, 1.5","normal, normal",Bullish_Engulfing,none,41256.94603072965,"1.0, 1.0, 1.5","67.03727926749546, 67.0811518324611, 70.39947609692133","95.91836734693791, 96.07843137254824, 95.7446808510629",95.91836734693791,96.07843137254824,95.7446808510629,67.03727926749546,"none, Bullish_Engulfing","none, none",0,1715718767.4791253,0,0,0,buy,ETFNiftyBullishReversalPatternToBuy
9,Telecommunication,BHARTIARTL-EQ,10604,1113.55,1290.75,1291.4,8854,1.085880626844633,0.084085537156933,green,"1.0, 2.0, 1.5","normal, normal",Bullish_Engulfing,none,7267.539140229044,"1.5, 1.5, 1.0","20.133188787363608, 18.98121247336855, 11.632415664986429","79.24528301886946, 77.7777777777788, 59.7701149425279",79.24528301886946,77.7777777777788,59.7701149425279,20.133188787363608,"none, Bullish_Engulfing","none, none",0,1715718768.6452248,0,0,0,buy,ETFNiftyBullishReversalPatternToBuy
44,Information Technology,TECHM-EQ,13538,1332.75,1259.5,1259.75,745,1.2117566197782177,0.0961902456660621,green,"1.0, 1.0, 1.5","tweezer_b, tweezer_b",Bullish_Engulfing,none,962.8868512595004,"1.0, 0.5, 0.75","29.76781107362572, 31.758634378721712, 36.139793486894","91.26213592232938, 92.43697478991524, 71.94244604316499",91.26213592232938,92.43697478991524,71.94244604316499,29.76781107362572,"none, Bullish_Engulfing","none, none",0,1715718769.254188,0,0,0,buy,ETFNiftyBullishReversalPatternToBuy
8,Financial Services,SBIN-EQ,3045,642.95,809.9,810.8,117571,1.2735747524032208,0.1570763138139147,green,"1.0, 1.0, 1.5","normal, tweezer_b",none,none,71055.40050033896,"2.0, 0.75, 2.0","80.78441045880557, 74.08322015063588, 77.22246246988324","92.59259259259234, 92.49999999999972, 84.04907975460173",92.59259259259234,92.49999999999972,84.04907975460173,80.78441045880557,"none, none","none, none",0,1715718769.5591683,0,0,0,buy,ETFNiftyRSIDivergenceForBuy
2,Information Technology,TCS-EQ,11536,3973.3,3937.0,3938.85,1822,3.197231175833524,0.081171691631657,green,"1.0, 1.0, 1.5","normal, normal",Bullish_Engulfing,none,1264.8225719651894,"1.5, 0.75, 1.5","17.517803419780115, 13.081026162052554, 12.578616352200797","81.81818181818181, 81.30841121495294, 58.64978902953703",81.81818181818181,81.30841121495294,58.64978902953703,17.517803419780115,"none, Bullish_Engulfing","none, none",0,1715718769.962818,0,0,0,buy,ETFNiftyBullishReversalPatternToBuy
4,Financial Services,ICICIBANK-EQ,4963,1023.5,1125.7,1127.25,43902,2.3560574974497808,0.2090093144776918,green,"1.0, 1.0, 1.5","normal, normal",none,none,46855.17649348897,"1.0, 0.75, 1.5","108.6715457972943, 103.93532912854263, 99.54228325112248","85.3333333333342, 84.05797101449365, 82.54437869822556",85.3333333333342,84.05797101449365,82.54437869822556,108.6715457972943,"none, none","none, none",0,1715718770.0216217,0,0,0,buy,ETFNiftyRSIDivergenceForBuy
17,Automobile and Auto Components,MARUTI-EQ,10999,10428.55,12612.85,12610.0,429,11.983264765713097,0.0950298553982006,red,"1.5, 1.5, 1.5","normal, tweezer_t",none,none,509.0323140271054,"1.0, 1.5, 1.5","33.74306106264811, 42.57562723730222, 46.53633322234292","86.66186012977657, 90.92841956059576, 91.57744468237016",86.66186012977657,90.92841956059576,91.57744468237016,33.74306106264811,"none, none","none, none",0,1715718792.1615672,0,0,0,sell,ETFNiftyRSIDivergenceForSell
27,Power,NTPC-EQ,11630,336.1,353.05,352.75,17493,0.4873343893594422,0.138152909811323,red,"1.0, 0.75, 1.5","normal, normal",none,none,31876.071103033857,"0.75, 1.0, 1.0","42.52303330970943, 58.06542982580403, 60.88064561800871","80.70175438596466, 90.19607843137258, 93.99999999999878",80.70175438596466,90.19607843137258,93.99999999999878,42.52303330970943,"none, none","Bearish_Engulfing, none",0,1715718792.1745248,0,0,0,sell,ETFNiftyRSIDivergenceForSell
35,Oil Gas & Consumable Fuels,COALINDIA-EQ,20374,440.25,444.4,444.1,13677,0.5927250221154284,0.1334665665650593,red,"0.75, 1.5, 0.75","normal, normal",none,none,31017.319435450616,"0.5, 0.75, 1.0","23.64332357577148, 37.128712871286616, 47.20161834119951","71.42857142857272, 77.5862068965519, 94.11764705882432",71.42857142857272,77.5862068965519,94.11764705882432,23.64332357577148,"none, none","none, none",0,1715718792.2702048,0,0,0,sell,ETFNiftyRSIDivergenceForSell
40,Financial Services,SBILIFE-EQ,21808,1419.85,1430.0,1427.9,664,1.5054392763796252,0.1054303015883202,red,"1.5, 1.5, 1.5","marubozu, normal",none,none,1664.456934626587,"0.5, 1.5, 1.0","-8.053785279080213, 12.9370629370623, 20.987827060305023","48.344370860927086, 75.00000000000001, 75.34246575342513",48.344370860927086,75.00000000000001,75.34246575342513,-8.053785279080213,"none, none","Bearish_Engulfing, none",0,1715718792.3479445,0,0,0,sell,ETFNiftyRSIDivergenceForSell
41,Oil Gas & Consumable Fuels,IOC-EQ,1624,173.95,157.9,157.8,32734,0.2582365777977679,0.1636480214181038,red,"0.75, 1.0, 1.0","normal, normal",none,Bearish_Engulfing,79416.63033838966,"0.5, 0.75, 0.75","31.68567807351077, 47.49841671944269, 66.41366223908811","70.96774193548505, 77.4193548387108, 89.28571428571553",70.96774193548505,77.4193548387108,89.28571428571553,31.68567807351077,"none, none","none, Bearish_Engulfing",0,1715718792.4515982,0,0,0,sell,ETFNiftyRSIDivergenceForSell
43,Construction Materials,GRASIM-EQ,1232,2089.75,2382.1,2381.1,1873,2.756743562001174,0.115776051488857,red,"1.5, 1.5, 1.5","normal, normal",none,none,1362.171532129336,"1.5, 0.5, 1.5","17.848893368611147, 28.96603836950628, 35.453553746749485","70.34482758620784, 76.0000000000012, 85.34798534798782",70.34482758620784,76.0000000000012,85.34798534798782,17.848893368611147,"none, none","none, none",0,1715718792.540301,0,0,0,sell,ETFNiftyRSIDivergenceForSell
71,Healthcare,MANKIND-EQ,15380,2057.45,2184.7,2184.3,884,2.853422379118408,0.130633263705462,red,"1.0, 1.5, 0.75","shooting_star, shooting_star",none,shooting_star,606.9938253375359,"1.5, 1.0, 0.5","34.33594286499107, 48.976976243877054, 39.37999404720979","89.01515151515275, 83.62989323843308, 83.74558303886808",89.01515151515275,83.62989323843308,83.74558303886808,34.33594286499107,"none, none","shooting_star, shooting_star",0,1715718792.7655475,0,0,0,sell,ETFBearishReversalPatternToSell
104,Financial Services,UNIONBANK-EQ,10753,146.75,136.9,136.8,108413,0.2899091355309484,0.2119218826980617,red,"2.0, 0.75, 1.0","normal, shooting_star",none,shooting_star,68816.53258685378,"2.0, 0.5, 1.5","25.584795321639085, 43.82761139517854, 54.74452554744526","69.23076923076906, 75.99999999999964, 83.33333333333253",69.23076923076906,75.99999999999964,83.33333333333253,25.584795321639085,"none, none","Bearish_Engulfing, shooting_star",0,1715718792.8074076,0,0,0,sell,ETFBearishReversalPatternToSell
76,Financial Services,ICICIPRULI-EQ,18652,504.8,597.0,596.2,3804,0.8718433798856486,0.1462333746872943,red,"1.5, 0.5, 0.75","normal, shooting_star",none,none,4535.94199367097,"1.0, 0.5, 0.75","22.64340825226472, 46.90117252931247, 51.93499748701663","72.72727272727343, 90.00000000000057, 91.1111111111114",72.72727272727343,90.00000000000057,91.1111111111114,22.64340825226472,"none, none","Bearish_Engulfing, none",0,1715718792.8801644,0,0,0,sell,ETFRSIDivergenceForSell
34,Services,ADANIPORTS-EQ,15083,1258.55,1290.3,1293.0,13017,1.983546198533978,0.1534065118742442,green,"2.0, 2.0, 1.0","marubozu, normal",Bullish_Engulfing,none,8387.768322656993,"2.0, 3.0, 0.5","66.51198762567601, 53.08842904750763, 39.19742306050339","88.66396761133542, 85.71428571428505, 79.62962962962887",88.66396761133542,85.71428571428505,79.62962962962887,66.51198762567601,"none, Bullish_Engulfing","none, none",0,1715718792.9090676,0,0,0,buy,ETFNiftyBullishReversalPatternToBuy
25,Metals & Mining,ADANIENT-EQ,25,3173.45,2854.6,2854.0,11485,3.671754363118605,0.1286529209221655,red,"1.0, 1.0, 1.5","shooting_star, shooting_star",none,shooting_star,13059.630112217064,"1.0, 1.0, 1.0","9.810791871058802, 14.362782876759995, 11.737500437966116","62.5, 64.10256410256368, 62.264150943396224",62.5,64.10256410256368,62.264150943396224,9.810791871058802,"none, none","shooting_star, shooting_star",0,1715718792.958901,0,0,0,sell,ETFNiftyBearishReversalPatternToSell
33,Power,ADANIGREEN-EQ,3563,1668.65,1672.7,1672.25,9048,1.9659803604799608,0.1175649789493174,red,"1.5, 1.0, 1.0","normal, shooting_star",none,shooting_star,10013.72490277724,"1.0, 1.0, 1.0","-15.248916130961009, -8.369701679917878, -5.377147124720484","32.71028037383233, 32.11009174311899, 46.46464646464757",32.71028037383233,32.11009174311899,46.46464646464757,-15.248916130961009,"none, none","none, shooting_star",0,1715718792.9947808,0,0,0,sell,ETFNiftyBearishReversalPatternToSell
14,Information Technology,HCLTECH-EQ,7229,1555.35,1316.25,1316.5,4461,1.0035322650004526,0.0762272894037563,green,"1.0, 0.75, 0.75","normal, hammer",hammer,none,4750.127826529002,"1.0, 0.5, 0.75","12.15343714394158, 9.876543209876198, 18.614192371980288","67.41573033707975, 73.1481481481497, 78.67647058823711",67.41573033707975,73.1481481481497,78.67647058823711,12.15343714394158,"none, hammer","none, none",0,1715718848.3944805,0,0,0,buy,ETFNiftyBullishReversalPatternToBuy
62,Oil Gas & Consumable Fuels,BPCL-EQ,526,574.75,606.25,605.95,14183,0.9070425664367318,0.1496893417669332,red,"0.75, 1.5, 0.75","normal, shooting_star",none,shooting_star,21391.671429225964,"0.75, 0.75, 0.5","33.83117418929067, 46.185567010308525, 49.48861761794787","76.04166666666815, 82.10526315789579, 77.7777777777788",76.04166666666815,82.10526315789579,77.7777777777788,33.83117418929067,"none, none","Bearish_Engulfing, shooting_star",0,1715718851.7681963,0,0,0,sell,ETFBearishReversalPatternToSell
102,Consumer Services,IRCTC-EQ,13611,946.65,990.1,989.65,1600,1.1606682742894212,0.117280682492742,red,"0.75, 0.75, 1.0","normal, normal",Bullish_Engulfing,none,2124.9955060194497,"1.0, 0.5, 1.5","36.8817258626785, 41.40995859004163, 41.93825476226545","85.43689320388343, 94.33962264151025, 94.44444444444514",85.43689320388343,94.33962264151025,94.44444444444514,36.8817258626785,"none, Bullish_Engulfing","none, none",0,1715718852.0004194,0,0,0,sell,ETFRSIDivergenceForSell
