id,O,H,L,C,V
1,2302.7,2305.85,2302.7,2305.5,38578
2,3360.65,3361.5,3358.75,3360.95,2651
3,1466.85,1467.65,1466.6,1467.65,26230
4,911.15,911.2,910.0,910.3,17027
5,2470.0,2472.05,2468.3,2470.2,2884
6,1373.35,1373.9,1372.7,1373.45,7555
7,429.9,430.3,429.8,430.3,12341
8,559.5,560.5,559.35,560.5,23285
9,914.95,915.0,913.3,914.25,22344
10,1695.0,1695.9,1694.4,1695.4,1519
11,7425.1,7428.35,7421.2,7427.65,2443
12,605.4,606.0,605.4,605.8,3129
13,2886.05,2889.8,2884.05,2889.8,3305
14,1269.9,1270.9,1268.55,1270.8,10188
15,2958.4,2958.6,2951.2,2952.0,2559
16,991.25,991.9,990.85,991.25,20431
17,10563.7,10584.7,10563.7,10569.65,2964
18,1109.0,1110.45,1108.95,1110.3,1479
19,3100.2,3101.85,3096.95,3097.65,1082
20,3643.95,3643.95,3641.45,3642.25,548
21,8252.5,8254.9,8249.4,8254.9,560
22,23989.0,24004.3,23970.0,23987.35,402
23,1545.7,1550.5,1545.0,1550.1,7785
24,382.65,382.85,382.5,382.65,6633
25,2265.85,2268.0,2262.1,2267.0,3982
26,185.8,186.4,185.8,186.4,107626
27,235.05,235.2,234.9,235.2,18991
28,729.0,730.95,728.85,730.45,7701
29,198.9,199.05,198.9,198.9,37115
30,1489.7,1494.6,1488.8,1494.6,8221
31,5136.45,5144.0,5135.1,5144.0,873
32,632.15,633.25,631.95,633.25,35324
33,878.9,879.8,877.15,878.05,2303
34,786.3,786.95,785.45,786.7,9223
35,314.8,315.0,314.4,314.55,51826
36,119.4,119.45,119.3,119.4,22545
37,292.25,292.7,292.05,292.7,580
38,2308.55,2309.35,2306.0,2308.1,771
39,3422.0,3422.0,3419.25,3421.45,142
40,1317.15,1320.0,1315.3,1320.0,22522
41,87.45,87.5,87.4,87.5,75549
42,5341.45,5347.5,5341.45,5343.85,640
43,1840.45,1843.0,1838.55,1843.0,2642
44,1136.75,1138.0,1136.4,1137.45,10929
45,604.55,604.85,604.4,604.7,7586
46,4469.0,4473.05,4463.0,4473.05,983
47,215.4,215.7,215.3,215.45,19545
48,980.35,980.5,980.0,980.5,3999
49,523.75,523.9,523.45,523.45,3212
50,563.0,563.05,560.5,561.4,4391
51,25449.35,25476.15,25449.35,25467.75,43
52,758.25,758.3,756.25,756.25,911
53,1852.1,1852.15,1849.0,1849.9,2306
54,456.6,456.95,455.85,456.3,33238
55,915.95,916.0,914.4,914.4,6528
56,536.0,536.05,535.2,535.95,20850
57,195.55,195.55,195.1,195.25,18896
58,1434.95,1434.95,1432.05,1432.2,3594
59,3386.6,3386.6,3378.0,3378.1,880
60,5349.95,5353.0,5345.45,5347.3,538
61,3401.25,3405.25,3399.15,3404.95,916
62,341.8,341.95,341.15,341.15,90980
63,1255.0,1256.6,1254.85,1256.4,1191
64,350.75,351.2,349.5,350.4,70086
65,2464.35,2464.35,2462.65,2462.65,186
66,1197.2,1199.5,1195.15,1198.95,53933
67,419.0,419.0,418.6,418.6,3066
68,2192.65,2193.7,2188.3,2189.85,1631
69,4029.05,4031.9,4025.5,4025.5,364
70,132.9,132.9,132.7,132.7,23509
71,1751.9,1752.95,1751.9,1752.25,109
72,733.25,735.0,731.55,734.0,93407
73,118.25,118.25,117.95,117.95,26585
74,6688.0,6688.0,6682.95,6686.05,68
75,885.5,885.9,885.05,885.45,1644
76,515.7,515.7,515.25,515.4,336
77,1159.15,1159.15,1156.95,1157.25,1122
78,532.9,532.9,532.6,532.7,2221
79,4806.35,4809.0,4803.1,4805.0,311
80,237.05,237.05,236.6,236.7,20886
81,19684.95,19689.75,19671.9,19687.95,51
82,538.6,539.0,538.45,538.45,1295
83,645.85,645.85,644.75,645.0,2227
84,1017.0,1017.4,1016.5,1017.25,1341
85,558.8,558.8,557.55,557.95,8398
86,330.9,330.9,329.85,330.35,3818
