id,disc,sector,symbol,token,cap,O,H,L,C,s5,s4,s3,s2,s1,p,r1,r2,r3,r4,r5,ltp
1,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE-EQ,2885,1577069.0,2383.0,2383.0,2325.0,2334.1,2182.466666666667,2218.1000000000004,2253.7333333333336,2289.366666666667,2311.7333333333336,2347.366666666667,2369.7333333333336,2405.366666666667,2427.7333333333336,2450.1000000000004,2472.466666666667,2349.3
2,Tata Consultancy Services Ltd.,Information Technology,TCS-EQ,11536,1173055.0,3600.0,3602.8,3527.35,3536.75,3338.6833333333325,3385.8499999999985,3433.016666666666,3480.183333333333,3508.4666666666662,3555.633333333333,3583.9166666666665,3631.0833333333335,3659.366666666667,3687.6500000000005,3715.9333333333343,3570.85
3,HDFC Bank Ltd.,Financial Services,HDFCBANK-EQ,1333,898087.0,1534.0,1537.6,1518.35,1523.7,1474.1500000000005,1485.2000000000003,1496.25,1507.3,1515.5,1526.55,1534.75,1545.8,1554.0,1562.2000000000003,1570.4000000000005,1535.75
4,ICICI Bank Ltd.,Financial Services,ICICIBANK-EQ,4963,612482.0,945.5,947.25,934.75,942.6,911.8833333333332,917.5999999999999,923.3166666666666,929.0333333333333,935.8166666666666,941.5333333333333,948.3166666666666,954.0333333333333,960.8166666666666,967.5999999999999,974.3833333333332,951.3
5,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR-EQ,1394,601577.0,2500.0,2501.0,2453.2,2460.35,2335.2666666666655,2364.749999999999,2394.2333333333327,2423.7166666666662,2442.033333333333,2471.5166666666664,2489.833333333333,2519.3166666666666,2537.633333333333,2555.95,2574.2666666666664,2569.45
6,Infosys Ltd.,Information Technology,INFY-EQ,1594,592393.0,1467.9,1472.6,1435.0,1439.45,1340.666666666667,1364.250000000001,1387.8333333333335,1411.4166666666667,1425.4333333333334,1449.0166666666667,1463.0333333333333,1486.6166666666666,1500.6333333333332,1514.65,1528.666666666667,1431.15
7,ITC Ltd.,Fast Moving Consumer Goods,ITC-EQ,1660,476322.0,449.95,449.95,439.6,440.75,413.53333333333353,420.05000000000007,426.5666666666667,433.08333333333337,436.9166666666667,443.43333333333334,447.26666666666665,453.7833333333333,457.6166666666666,461.4499999999998,465.2833333333333,448.35
8,State Bank of India,Financial Services,SBIN-EQ,3045,467426.0,591.25,595.2,588.85,589.95,573.3833333333332,577.25,581.1166666666667,584.9833333333333,587.4666666666667,591.3333333333334,593.8166666666667,597.6833333333334,600.1666666666667,602.6499999999999,605.1333333333334,576.15
9,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL-EQ,10604,417577.0,926.0,932.0,918.6,925.65,892.2666666666664,898.8499999999999,905.4333333333333,912.0166666666667,918.8333333333333,925.4166666666666,932.2333333333332,938.8166666666666,945.6333333333332,952.4499999999998,959.2666666666664,954.2
10,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK-EQ,1922,344231.0,1762.2,1771.9,1729.0,1733.2,1620.1999999999998,1647.3999999999996,1674.6,1701.8,1717.5,1744.7,1760.4,1787.6000000000001,1803.3000000000002,1819.0000000000005,1834.6999999999998,1762.0
11,Bajaj Finance Ltd.,Financial Services,BAJFINANCE-EQ,317,340054.0,7804.75,7829.0,7718.05,7739.0,7450.116666666665,7517.0999999999985,7584.083333333333,7651.066666666667,7695.033333333333,7762.016666666666,7805.983333333333,7872.966666666666,7916.9333333333325,7960.899999999998,8004.866666666665,8051.65
12,Life Insurance Corporation of India,Financial Services,LICI-EQ,9480,337976.0,646.0,652.0,643.05,650.3,628.8499999999997,632.3999999999999,635.9499999999998,639.4999999999999,644.8999999999999,648.4499999999999,653.8499999999999,657.4,662.8,668.2,673.5999999999999,634.65
