id,disc,sector,symbol,token,cap,O,H,L,C,s5,s4,s3,s2,s1,p,r1,r2,r3,r4,r5
1,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE-EQ,2885,1577069,2383.0,2383.0,2325.0,2334.1,2182.466666666667,2218.1000000000004,2253.7333333333336,2289.366666666667,2311.7333333333336,2347.366666666667,2369.7333333333336,2405.366666666667,2427.7333333333336,2450.1000000000004,2472.466666666667
26,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC-EQ,2475,190025,188.9,189.5,186.5,187.45,179.76666666666677,181.45000000000005,183.13333333333338,184.8166666666667,186.13333333333338,187.8166666666667,189.13333333333338,190.8166666666667,192.13333333333338,193.45000000000005,194.76666666666677
35,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA-EQ,20374,131666,291.55,294.15,289.0,290.2,276.86666666666656,279.9,282.9333333333333,285.96666666666664,288.08333333333326,291.1166666666666,293.23333333333323,296.2666666666666,298.3833333333332,300.4999999999999,302.61666666666645
41,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC-EQ,1624,110004,90.8,91.4,89.5,89.8,84.83333333333331,85.99999999999994,87.16666666666666,88.33333333333333,89.06666666666666,90.23333333333333,90.96666666666667,92.13333333333334,92.86666666666667,93.6,94.33333333333331
50,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL-EQ,6066,95436,629.8,631.45,621.2,622.15,595.1333333333334,601.6500000000001,608.1666666666667,614.6833333333334,618.4166666666667,624.9333333333334,628.6666666666667,635.1833333333334,638.9166666666667,642.6500000000001,646.3833333333334
62,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL-EQ,526,74687,347.05,350.0,342.0,343.95,323.26666666666665,327.95000000000005,332.6333333333333,337.31666666666666,340.6333333333333,345.31666666666666,348.6333333333333,353.31666666666666,356.6333333333333,359.95000000000005,363.26666666666665
73,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL-EQ,4717,69137,121.95,122.7,121.0,121.45,117.0666666666666,118.04999999999995,119.0333333333333,120.01666666666665,120.7333333333333,121.71666666666665,122.43333333333331,123.41666666666666,124.13333333333331,124.84999999999997,125.5666666666666
145,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET-EQ,11351,34327,238.5,240.9,234.2,235.35,217.86666666666667,221.95,226.03333333333336,230.11666666666667,232.73333333333338,236.8166666666667,239.4333333333334,243.5166666666667,246.1333333333334,248.7500000000001,251.3666666666668
149,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO-EQ,1406,33591,254.0,256.95,249.1,249.7,228.9666666666667,234.0000000000001,239.03333333333336,244.06666666666666,246.88333333333333,251.91666666666666,254.73333333333332,259.76666666666665,262.5833333333333,265.40000000000003,268.2166666666666
155,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD-EQ,10599,31638,421.8,423.6,414.0,414.95,389.6666666666665,395.7499999999998,401.83333333333326,407.91666666666663,411.4333333333333,417.51666666666665,421.0333333333333,427.1166666666667,430.6333333333333,434.15,437.6666666666665
163,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL-EQ,11262,30009,454.85,455.65,448.15,449.8,430.35000000000014,434.80000000000007,439.25,443.7,446.75,451.2,454.25,458.7,461.75,464.80000000000007,467.85000000000014
177,Oil India Ltd.,Oil Gas & Consumable Fuels,OIL-EQ,17438,27289,288.8,305.45,288.75,292.25,248.88333333333344,258.85000000000014,268.8166666666667,278.78333333333336,285.5166666666667,295.48333333333335,302.2166666666667,312.18333333333334,318.9166666666667,325.6500000000001,332.38333333333344
261,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL-EQ,13197,14951,288.9,289.9,281.05,283.0,260.0500000000002,265.3000000000002,270.5500000000001,275.80000000000007,279.4000000000001,284.65000000000003,288.25000000000006,293.5,297.1,300.69999999999993,304.30000000000007
277,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM-EQ,40,13301,326.95,337.8,325.95,332.7,303.35000000000014,309.0,314.65000000000003,320.3,326.50000000000006,332.15000000000003,338.3500000000001,344.00000000000006,350.2000000000001,356.4000000000001,362.60000000000014
306,Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND-EQ,1250,10974,139.4,139.4,136.05,136.6,127.85000000000008,129.90000000000003,131.95000000000005,134.00000000000003,135.30000000000004,137.35000000000002,138.65000000000003,140.70000000000002,142.00000000000003,143.30000000000007,144.60000000000002
