time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi,emaOne,emaTwo,QOne,QTwo,QQOne,QQTwo,mTyp,st,trT
2024-05-15T15:04:00+05:30,23133.0,23133.5,23123.2,23124.85,0,10.0,0.04,red,1.5,normal,none,none,0.0,0,-13.15,0.0,8.35,18.64,23139.13,23145.05,-60.74,-51.62,-4.31,-5.88,Bearish,-2,2
2024-05-15T15:05:00+05:30,23128.85,23131.55,23126.4,23129.85,0,9.4,0.04,green,0.75,spn_top,none,none,0.0,0,-10.9,5.0,0.0,27.44,23136.04,23142.01,-37.72,-37.23,26.83,14.11,Bearish,-1,3
2024-05-15T15:06:00+05:30,23129.8,23130.0,23120.05,23123.45,0,9.5,0.04,red,1.5,normal,none,Bearish_Engulfing,0.0,0,-15.18,0.0,6.4,24.72,23131.84,23138.3,-46.37,-42.86,-7.85,-4.81,Bearish,-2,4
2024-05-15T15:07:00+05:30,23125.1,23135.25,23125.05,23135.25,0,9.92,0.04,green,1.5,marubozu,Bullish_Engulfing,none,0.0,0,-9.7,11.8,0.0,33.55,23132.98,23137.69,15.86,-8.67,33.69,21.19,SideWise,0,0
2024-05-15T15:08:00+05:30,23132.45,23137.45,23128.85,23137.45,0,9.68,0.04,green,1.0,normal,none,none,0.0,0,-10.85,2.2,0.0,35.97,23134.47,23137.64,20.43,-0.69,2.53,4.02,Bullish,2,0
2024-05-15T15:09:00+05:30,23137.85,23139.9,23134.25,23139.9,0,8.95,0.04,green,0.75,hammer,hammer,none,0.0,0,-10.7,2.45,0.0,33.76,23136.28,23138.09,24.35,6.45,2.29,3.58,Bullish,1,1
2024-05-15T15:10:00+05:30,23141.0,23147.3,23139.35,23147.0,0,8.77,0.04,green,1.0,normal,none,none,0.0,0,-1.45,7.1,0.0,38.19,23139.85,23139.87,41.78,24.01,12.43,9.44,Bullish,2,2
2024-05-15T15:11:00+05:30,23146.55,23146.55,23142.4,23144.05,0,8.01,0.03,red,0.75,normal,none,none,0.0,0,0.09,0.0,2.95,45.03,23141.25,23140.71,19.29,11.8,-15.2,-6.74,Bullish,1,3
2024-05-15T15:12:00+05:30,23143.55,23143.9,23135.4,23135.4,0,8.12,0.04,red,1.5,marubozu,none,none,0.0,0,0.95,0.0,8.65,43.55,23139.3,23139.65,-25.99,-14.87,-22.72,-13.34,SideWise,0,0
2024-05-15T15:13:00+05:30,23134.7,23137.0,23131.9,23137.0,0,7.57,0.03,green,0.75,tweezer_b,none,none,0.0,0,5.25,1.6,0.0,53.36,23138.53,23139.12,-10.85,-7.55,8.41,3.81,SideWise,0,1
