pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
6531,IV,nse_cm,,NHIT,NHIT-IV,,NHIT-IV,INE0H7R23014,,,,NATIONAL HIGHW INFRA TRUS,,,1,200000,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1369353600,95.84-143.76,0,0,1383155948,,,,,,,,,,CASH,,,,,10000,,,,3.50,75.00,,,T+1,315513000,0,1,834639,200000,0,14376,9584,1,1,1,0,0,1,0,7.26405e+08,0,0,834639
6542,BL,nse_cm,,NHIT,NHIT-BL,,NHIT-BL,INE0H7R23014,,,,NATIONAL HIGHW INFRA TRUS,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,0,118.60-120.99,0,0,1383152681,,,,,,,,,,CASH,,,,,10000,,,,,,,,T+1,315513000,0,1,0,1,0,12099,11860,1,1,1,0,0,1,0,7.26405e+08,0,0,99999999
6543,EQ,nse_cm,,GRPLTD,GRPLTD-EQ,,GRPLTD,INE137I01015,,,,GRP LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1108166400,,1108166400,0,0,1375056000,1375574400,0,3758.20-4153.80,0,0,1383155948,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,25277,1,0,415380,375820,1,1,1,0,0,1,0,1.33333e+06,0,0,25277
6545,EQ,nse_cm,,NYKAA,NYKAA-EQ,,NYKAA,INE388Y01029,,,,FSN E COMMERCE VENTURES,,,5,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1352592000,112.20-168.20,0,0,1383155948,,,,,,,,,,CASH,,,,,100,,,,3.50,15.28,,,T+1,315513000,0,1,713232,1,0,16820,11220,1,1,1,0,0,1,0,2.85293e+09,0,0,713232
1,SM,nse_cm,,GOLDSTAR,GOLDSTAR-SM,,GOLDSTAR-SM,INE405Y01021,,,,GOLDSTAR POWER LIMITED,,,5,11250,-1,-1,2,-1,NSE,,,1192060800,,1192060800,0,0,0,0,1374192000,17.00-18.75,0,0,1383155948,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,5586522,11250,0,1875,1700,1,1,1,0,0,1,0,2.40705e+08,0,0,5586522
6548,BL,nse_cm,,GRPLTD,GRPLTD-BL,,GRPLTD-BL,INE137I01015,,,,GRP LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1108166400,,1108166400,0,0,1375056000,1375574400,0,3916.45-3995.55,0,0,1383154584,,,,,,,,,,CASH,,,,,1000,,,,,,,,T+1,315513000,0,1,0,1,0,399555,391645,1,1,1,0,0,1,0,1.33333e+06,0,0,99999999
4,EQ,nse_cm,,21STCENMGM,21STCENMGM-EQ,,21STCENMGM,INE253B01015,,,,21ST CENTURY MGMT SERVICE,,,5,1,-1,-1,2,-1,NSE,,,484531200,,483926400,0,0,1376870400,1377302400,0,17.90-18.60,0,0,1383155947,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,343350,1,0,1860,1790,1,1,1,0,0,1,0,1.05e+07,0,0,343350
7,EQ,nse_cm,,AARTIIND,AARTIIND-EQ,,AARTIIND,INE769A01020,,,,AARTI INDUSTRIES LTD,,,5,1,-1,-1,2,-1,NSE,,,473040000,,476668800,0,0,0,0,1374969600,411.60-503.00,0,0,1383155947,,,,,,,,,,CASH,,,,,500,,,,0,20,,,T+1,315513000,0,1,218589,1,0,50300,41160,1,1,1,0,0,1,0,3.62504e+08,0,0,218589
6553,BL,nse_cm,,NYKAA,NYKAA-BL,,NYKAA-BL,INE388Y01029,,,,FSN E COMMERCE VENTURES,,,5,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1352592000,138.80-141.60,0,0,1383154584,,,,,,,,,,CASH,,,,,100,,,,,,,,T+1,315513000,0,1,0,1,0,14160,13880,1,1,1,0,0,1,0,2.85293e+09,0,0,99999999
6555,SG,nse_cm,,525AS24,525AS24-SG,,525AS24-SG,IN1220210117,,,,SDL AS 5.25% 2024,,,1,100,-1,-1,2,-1,NSE,,,1321142400,,1321142400,0,0,0,0,0,95.00-105.00,0,0,1383152681,,,,,,,,,,CASH,,,,,10000,,,,0.00,10.00,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000
