0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,ABB Ltd.,ABB-EQ,13,4458.55,1710.9560546875,0.5136268138885498,0,4344.03,4389.52,4424.03,4469.52,4504.03,4549.52,4584.03,200000
2,ACC Ltd.,ACC-EQ,22,2024.25,1711.0906946659088,0.6482667922973633,0,1966.83,1991.42,2007.83,2032.42,2048.83,2073.42,2089.83,200000
3,Au Small Finance Bank Ltd.,AUBANK-EQ,21238,734.9,0.0,0.0,0,714.0,719.0,726.95,731.95,739.9,744.9,752.85,200000
4,Abbott India Ltd.,ABBOTINDIA-EQ,17903,23002.3,1711.2502708435059,0.942481279373169,0,22463.03,22631.57,22816.93,22985.47,23170.83,23339.37,23524.73,200000
5,Adani Energy Solutions Ltd.,ADANIENSOL-EQ,10217,833.0,1711.3729422092438,1.065152645111084,0,812.33,821.67,827.33,836.67,842.33,851.67,857.33,200000
6,Adani Enterprises Ltd.,ADANIENT-EQ,25,2519.3,1711.5095765590668,1.202784776687622,0,2471.57,2488.83,2504.07,2521.33,2536.57,2553.83,2569.07,200000
7,Adani Green Energy Ltd.,ADANIGREEN-EQ,3563,1001.2,1711.6651611328125,1.3583693504333496,0,981.0,989.5,995.35,1003.85,1009.7,1018.2,1024.05,200000
8,Adani Ports & Special Economic Zone Ltd.,ADANIPORTS-EQ,15083,825.0,1711.8077800273895,1.501985788345337,0,795.18,802.67,813.83,821.32,832.48,839.97,851.13,200000
9,Adani Power Limited,ADANIPOWER-EQ,17388,369.15,1711.9444143772125,1.638620138168335,0,344.57,350.78,359.97,366.18,375.37,381.58,390.77,200000
10,Adani Total Gas Ltd.,ATGL-EQ,6066,644.8,1712.096007347107,1.791210651397705,0,630.28,636.67,640.73,647.12,651.18,657.57,661.63,200000
11,Adani Wilmar Ltd.,AWL-EQ,8110,354.6,1712.2715411186218,1.9667444229125977,0,341.5,347.0,350.8,356.3,360.1,365.6,369.4,200000
12,Aditya Birla Capital Ltd.,ABCAPITAL-EQ,21614,186.9,1712.422137260437,2.117340564727783,0,183.63,185.07,185.98,187.42,188.33,189.77,190.68,200000
13,Aditya Birla Fashion and Retail Ltd.,ABFRL-EQ,30108,229.35,1712.56076669693,2.256967067718506,0,224.37,226.68,228.02,230.33,231.67,233.98,235.32,200000
14,Alkem Laboratories Ltd.,ALKEM-EQ,11703,3621.25,1712.715353012085,2.411553382873535,0,3558.98,3585.72,3603.48,3630.22,3647.98,3674.72,3692.48,200000
15,Ambuja Cements Ltd.,AMBUJACEM-EQ,1270,439.2,1712.850991487503,2.548189401626587,0,432.7,434.8,437.0,439.1,441.3,443.4,445.6,200000
16,Apollo Hospitals Enterprises Ltd.,APOLLOHOSP-EQ,157,4985.15,1713.0225319862366,2.7197299003601074,0,4886.95,4932.45,4958.8,5004.3,5030.65,5076.15,5102.5,200000
17,Apollo Tyres Ltd.,APOLLOTYRE-EQ,163,381.65,1713.1631553173065,2.8613505363464355,0,373.85,377.45,379.55,383.15,385.25,388.85,390.95,200000
18,Ashok Leyland Ltd.,ASHOKLEY-EQ,212,183.6,1713.338686466217,3.036881685256958,0,179.4,181.0,182.3,183.9,185.2,186.8,188.1,200000
19,Asian Paints Ltd.,ASIANPAINT-EQ,236,3238.05,1713.4633493423462,3.1625452041625977,0,3194.63,3213.32,3225.68,3244.37,3256.73,3275.42,3287.78,200000
20,Astral Ltd.,ASTRAL-EQ,14418,1909.3,1713.6348912715912,3.3340871334075928,0,1872.85,1883.0,1896.15,1906.3,1919.45,1929.6,1942.75,200000
21,Aurobindo Pharma Ltd.,AUROPHARMA-EQ,275,858.5,1713.7635478973389,3.463740348815918,0,837.27,843.63,851.07,857.43,864.87,871.23,878.67,200000
22,Avenue Supermarts Ltd.,DMART-EQ,19913,3782.4,1713.886219739914,3.586412191390991,0,3714.93,3745.47,3763.93,3794.47,3812.93,3843.47,3861.93,200000
23,Axis Bank Ltd.,AXISBANK-EQ,5900,980.3,1714.094664812088,3.795853614807129,0,957.97,965.23,972.77,980.03,987.57,994.83,1002.37,200000
24,Bajaj Auto Ltd.,BAJAJ-AUTO-EQ,16669,4759.55,1714.2442638874054,3.9454526901245117,0,4631.4,4667.05,4713.3,4748.95,4795.2,4830.85,4877.1,200000
25,Bajaj Finance,BAJFINANCE-EQ,317,7410.65,1714.366934299469,4.069121599197388,0,7290.5,7330.25,7370.45,7410.2,7450.4,7490.15,7530.35,200000
26,Bajaj Finserv Ltd.,BAJAJFINSV-EQ,16675,1541.0,1714.5384767055511,4.240664005279541,0,1490.68,1507.87,1524.43,1541.62,1558.18,1575.37,1591.93,200000
27,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG-EQ,305,7141.8,1714.68608045578,4.389265537261963,0,6997.87,7062.93,7102.37,7167.43,7206.87,7271.93,7311.37,200000
28,Balkrishna Industries Ltd.,BALKRISIND-EQ,335,2402.4,1714.7997767925262,4.502961874008179,0,2358.75,2372.5,2387.45,2401.2,2416.15,2429.9,2444.85,200000
29,Bandhan Bank Ltd.,BANDHANBNK-EQ,2263,243.4,0.0,0.0,0,231.52,234.83,239.12,242.43,246.72,250.03,254.32,200000
30,Bank of Baroda,BANKBARODA-EQ,4668,197.8,1714.9703266620636,4.807150602340698,0,192.2,194.2,196.0,198.0,199.8,201.8,203.6,200000
