pid,id,sector,symbol,token,ot,ltp,lp,q,sl,target,mr,po,slo,to,gol,rFlag,eFlag,oc,tOEP,tOP,tOEx,ltpP
1,42,Automobile and Auto Components,BAJAJ-AUTO-EQ,16669,sell,8947.410714285714,8970.553846153845,-55,9008.609615384616,8960.023615384616,98677.05533653848,,,,1272.8722527472382,0,0,ETFNiftyToSell,1716311162.934626,1716311168.158151,,8947.164285714285
2,44,Information Technology,TECHM-EQ,13538,sell,1271.2118181818182,1275.15,-392,1280.2545454545457,1273.7945454545456,99974.55647454546,,,,1543.7672727272948,0,0,ETFNiftyToSell,1716311163.500731,1716311169.10897,,1271.1290909090908
3,48,Fast Moving Consumer Goods,GODREJCP-EQ,10099,sell,1290.3244897959182,1293.509375,-386,1299.7062500000002,1291.78425,99862.660591875,,,,1229.3656887756,0,0,ETFNiftyToSell,1716311163.4568782,1716311170.1365323,,1290.3
4,37,Metals & Mining,HINDZINC-EQ,1424,sell,563.21,564.9394736842105,-884,567.95625,564.04625,99881.38840875,,,,1528.8547368420475,0,0,ETFNiftyToSell,1716311162.9874487,1716311170.19135,,563.2
5,34,Services,ADANIPORTS-EQ,15083,sell,1341.187,1345.9385416666669,-371,1353.2302083333334,1343.7782083333332,99869.01796046874,,,,1762.82195833345,0,0,ETFNiftyToSell,1716311163.0452545,1716311170.2132757,,1341.17
6,33,Power,ADANIGREEN-EQ,3563,sell,1820.3,1829.4214285714288,-264,1842.5357142857144,1825.3997142857145,96596.45056285714,,,,2408.0571428572166,0,0,ETFNiftyToSell,1716311163.0532618,1716311170.2322128,,1820.4545454545453
7,46,Fast Moving Consumer Goods,BRITANNIA-EQ,547,sell,5061.85,5074.174999999999,-98,5096.574999999999,5067.845,99453.950295,,,,1207.849999999893,0,0,ETFNiftyToSell,1716311163.4798014,1716311171.1421683,,5061.641666666667
8,30,Automobile and Auto Components,M&M-EQ,2031,sell,2296.905,2304.1666666666665,-199,2321.4416666666666,2298.7636666666663,91706.780905,,,,1445.071666666597,0,0,ETFNiftyToSell,1716311163.0751562,1716311171.2009716,,2297.0
9,24,Information Technology,WIPRO-EQ,3787,sell,456.7166666666666,458.35,-1090,459.7972222222223,457.9952222222222,99921.95770833334,,,,1780.333333333449,0,0,ETFNiftyToSell,1716311163.142928,1716311174.1122322,,456.69444444444446
10,17,Automobile and Auto Components,MARUTI-EQ,10999,sell,12767.9,12776.7625,-39,12845.366666666669,12756.490666666668,99659.2089675,,,,345.63750000004256,0,0,ETFNiftyToSell,1716311163.2107022,1716311174.1421323,,12767.75
11,49,Fast Moving Consumer Goods,DABUR-EQ,772,sell,545.44,545.9766666666667,-915,549.2483333333332,544.9983333333333,99915.5848575,,,,491.0499999999695,0,0,ETFNiftyToSell,1716311163.4429245,1716311174.1730292,,545.4181818181819
12,47,Metals & Mining,VEDL-EQ,3063,sell,442.875,444.3524390243903,-1111,447.4731707317073,443.39317073170736,98737.24805195122,,,,1641.4347560976469,0,0,ETFNiftyToSell,1716311163.467841,1716311174.191965,,442.85
13,8,Financial Services,SBIN-EQ,3045,sell,821.8705882352941,824.3071428571428,-606,827.9833333333332,823.2913333333333,99908.45664,,,,1476.552100840312,0,0,ETFNiftyToSell,1716311162.7183487,1716311174.2278454,,821.8823529411765
14,36,Metals & Mining,TATASTEEL-EQ,3499,sell,165.9189655172414,166.40333333333334,-3003,167.07166666666663,166.22166666666666,99942.876033,,,,1454.556551724116,0,0,ETFNiftyToSell,1716311162.9984124,1716311175.136805,,165.91724137931035
15,25,Metals & Mining,ADANIENT-EQ,25,sell,3070.285,3077.423076923077,-162,3089.080769230769,3074.324769230769,99709.74325384616,,,,1156.368461538519,0,0,ETFNiftyToSell,1716311163.1309986,1716311175.169695,,3070.2
16,16,Financial Services,AXISBANK-EQ,5900,sell,1119.25,1122.6,-445,1127.3250000000005,1121.307,99913.115475,,,,1490.7499999999595,0,0,ETFNiftyToSell,1716311163.2206678,1716311175.2015877,,1119.25
17,5,Fast Moving Consumer Goods,HINDUNILVR-EQ,1394,sell,2329.50625,2333.683673469388,-214,2341.145918367347,2331.829918367347,99882.88833979596,,,,893.9686224490388,0,0,ETFNiftyToSell,1716311162.7661889,1716311177.190933,,2329.5375
18,4,Financial Services,ICICIBANK-EQ,4963,sell,1114.02,1117.588888888889,-447,1122.1661764705882,1116.3521764705883,99914.4863086765,,,,1595.293333333373,0,0,ETFNiftyToSell,1716311162.7791457,1716311177.2876089,,1113.985
19,40,Financial Services,SBILIFE-EQ,21808,sell,1436.1642857142856,1441.1214285714286,-346,1445.110714285714,1440.1807142857149,99725.87372571432,,,,1715.171428571487,0,0,ETFNiftyToSell,1716311162.9555557,1716311177.430133,,1436.2214285714283
20,38,Chemicals,PIDILITIND-EQ,2664,sell,2955.6541666666667,2965.682075471698,-168,2978.524528301886,2962.1365283018868,99648.62576490568,,,,1684.688679245297,0,0,ETFNiftyToSell,1716311162.9764867,1716311177.5059056,,2955.708333333333
