time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi
2024-01-25T09:22:00+05:30,523.0,523.95,522.0,523.0,11070,1.5899999999999976,0.3043062200956933,green,1.5,spn_top,none,none,20356.2,0.75,0.0,0.0,0.0,50.0
2024-01-25T09:23:00+05:30,523.0,523.0,522.0,522.0,11570,1.5899999999999976,0.3043062200956933,red,0.75,marubozu,none,Bearish_Engulfing,20356.2,0.75,0.0,0.0,1.0,50.0
2024-01-25T09:24:00+05:30,522.5,523.0,522.4,522.5,7742,1.5899999999999976,0.3043062200956933,green,0.5,spn_top,Piercing,none,20356.2,0.5,-53.58851674641061,0.5,0.0,30.82191780821937
2024-01-25T09:25:00+05:30,523.0,523.0,522.0,522.5,8709,1.482727272727271,0.2837755545889514,red,0.75,tweezer_b,none,none,18238.527272727275,0.5,-66.98564593301435,0.0,0.0,30.82191780821937
2024-01-25T09:26:00+05:30,522.0,524.0,522.0,523.0,12921,1.5767768595041307,0.3014869712244992,green,1.5,tweezer_t,none,none,17271.704132231407,0.75,-38.24091778202677,0.5,0.0,28.873239436619453
2024-01-25T09:27:00+05:30,524.0,524.0,523.0,524.0,2022,1.471908339594289,0.2808985380905131,green,0.75,spn_top,none,none,14499.030653643878,0.25,-9.541984732824426,1.0,0.0,42.95774647887315
2024-01-25T09:28:00+05:30,524.0,524.0,523.0,523.05,2365,1.3861068233044185,0.2650046502828445,red,0.75,marubozu,none,Bearish_Engulfing,12292.843262072263,0.25,0.9559315552997713,0.0,0.9500000000000456,40.39735099337712
2024-01-25T09:29:00+05:30,523.5,524.65,523.0,524.65,7747,1.4340874008854292,0.2733417327523929,green,1.5,normal,Bullish_Engulfing,none,11466.326305331851,0.75,51.46288001524696,1.6000000000000227,0.0,60.784313725490094
2024-01-25T09:30:00+05:30,524.0,524.75,524.0,524.65,10686,1.309707873451715,0.2496345894313761,green,0.75,marubozu,none,none,11324.448795271515,1.0,31.44953778709573,0.0,0.0,70.45454545454486
2024-01-25T09:31:00+05:30,524.65,525.0,524.0,524.95,22708,1.2533973510059486,0.238765092105143,green,1.0,tweezer_b,none,none,13394.18537794942,2.0,37.146394894752746,0.3000000000000682,0.0,66.66666666666666
