time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi
2024-01-25T09:35:00+05:30,81.3,81.4,81.25,81.3,300852,0.2407596610811145,0.296137344503216,green,0.75,spn_top,none,none,557587.2633033097,0.75,18.45018450184397,0.0,0.1000000000000085,51.72413793103438
2024-01-25T09:36:00+05:30,81.3,81.4,81.25,81.3,230285,0.2242579045209128,0.2758399809605324,green,0.75,spn_top,none,none,498077.76088452607,0.5,0.0,0.0,0.0,55.555555555555216
2024-01-25T09:37:00+05:30,81.3,81.5,81.3,81.45,286880,0.2198473764262019,0.2699169753544529,green,1.0,normal,none,none,459678.1679964304,0.75,-18.41620626150908,0.1500000000000056,0.0,55.55555555555567
2024-01-25T09:38:00+05:30,81.45,81.5,81.4,81.4,506841,0.1980569443487096,0.2433131994455891,red,0.75,tweezer_t,none,dark_cloud_cover,468253.2283607158,1.5,-42.9975429975423,0.0,0.0499999999999971,40.90909090909162
2024-01-25T09:39:00+05:30,81.4,81.4,81.15,81.25,350772,0.2075011362853078,0.2553860138896097,red,1.5,normal,none,none,446893.00502240384,1.0,-43.076923076922384,0.0,0.1500000000000056,27.272727272727742
2024-01-25T09:40:00+05:30,81.25,81.5,81.2,81.5,388206,0.2243191115061604,0.2752381736271907,green,1.5,normal,Bullish_Engulfing,none,436222.6404728759,1.0,6.134969325153025,0.25,0.0,45.833333333333634
2024-01-25T09:41:00+05:30,81.4,81.5,81.4,81.4,793432,0.2017156366868575,0.2478079074777119,green,0.5,spn_top,none,none,501169.7967505349,2.0,12.285012285013332,0.0,0.0999999999999943,47.82608695652191
2024-01-25T09:42:00+05:30,81.4,81.5,81.4,81.45,523436,0.1832218845619732,0.2249501345143932,green,0.75,tweezer_t,none,none,505218.1973413468,1.5,0.0,0.0499999999999971,0.0,57.14285714285734
2024-01-25T09:43:00+05:30,81.45,81.9,81.45,81.9,941244,0.2317269964597967,0.2829389456163574,green,2.0,marubozu,none,none,584495.6160065564,2.0,61.05006105006105,0.4500000000000028,0.0,66.66666666666667
2024-01-25T09:44:00+05:30,82.1,82.85,81.95,82.8,2866614,0.3623220880125588,0.4375870628171,green,3.0,normal,none,none,999426.2312780916,3.0,181.1594202898551,0.8999999999999915,0.0,81.81818181818159
