id,O,H,L,C,V,alarmTimer,refT,srT,srV,nSR,GL
1,2302.5,2303.0,2299.0,2318.299,28783,1800,1699818007.7126243,R,2318.3,2318.3,0.5268087505149226
2,3356.4,3359.1,3356.0,3472.0,2181,1800,1699818007.7066412,R,3471.0333333333333,3471.0333333333333,0.4731381939721878
3,1464.75,1466.1,1464.75,1466.1,29163,0,0.0,None,0.0,1468.8499999999995,-3.2245288623387
4,909.6,909.6,909.05,909.25,5840,0,0.0,None,0.0,907.0,-2.8319529788939355
5,2464.05,2464.6,2463.0,2463.3,2510,0,0.0,None,0.0,2477.3999999999996,-3.327969859895598
6,2302.5,2303.0,2299.0,2300.2,28783,0,0.0,None,0.0,1467.7833333333328,60.443622920517534
7,430.45,430.65,430.45,430.45,162936,0,0.0,None,0.0,430.1166666666668,-4.429396092362342
8,558.15,558.5,558.0,558.0,14261,0,0.0,None,0.0,557.2,-2.310924369747907
9,911.5,911.7,911.25,911.25,2369,0,0.0,None,0.0,916.9500000000007,-3.361790126729948
10,1691.1,1692.2,1691.0,1692.1,1211,1800,1699818007.742545,S,1691.9333333333334,1691.9333333333334,-2.6661681382841116
11,7410.15,7412.0,7407.35,7411.75,1441,0,0.0,None,0.0,7366.399999999998,-5.481059229361544
12,605.1,605.1,604.8,605.0,1134,0,0.0,None,0.0,613.0,-4.679376083188915
13,989.4,989.4,988.55,988.6,9895,0,0.0,None,0.0,0.0,-67.63357778941855
14,1262.0,1262.9,1261.5,1262.0,6692,0,0.0,None,0.0,1263.25,-0.42214068726081266
15,2950.0,2950.0,2947.1,2948.55,1323,0,0.0,None,0.0,3017.5666666666657,-4.940679605390418
16,989.4,989.4,988.55,988.6,9895,0,0.0,None,0.0,990.0333333333333,-0.2824288884405845
17,10407.15,10407.15,10383.3,10384.25,5407,0,0.0,None,0.0,10532.400000000001,-3.5969252764187707
18,1108.0,1108.5,1107.6,1107.6,960,0,0.0,None,0.0,1111.5,-2.969776609724055
19,3080.65,3085.0,3080.65,3083.6,2248,0,0.0,None,0.0,3134.666666666668,-6.120895681427251
20,3641.7,3643.0,3639.5,3641.4,388,0,0.0,None,0.0,3658.4500000000007,-3.330368875851171
21,23933.35,23965.0,23933.35,23965.0,111,0,0.0,None,0.0,9431.133333333331,181.3272211820087
22,23933.35,23965.0,23933.35,23965.0,111,0,0.0,None,0.0,23819.95,-0.6934674824457566
23,1542.35,1542.6,1541.0,1541.0,3380,0,0.0,None,0.0,1543.65,-5.73482183820156
24,381.25,381.35,380.8,381.1,32006,0,0.0,None,0.0,382.0000000000001,-3.5922084492790254
25,2258.85,2259.85,2257.8,2258.95,3483,0,0.0,None,0.0,2323.0166666666673,-5.963283656648073
26,185.85,185.95,185.8,185.85,12376,0,0.0,None,0.0,186.0,-0.2415458937198159
27,233.65,233.8,233.65,233.7,15084,0,0.0,None,0.0,232.89999999999986,-2.4217118997912364
28,730.75,731.5,730.1,730.55,6188,0,0.0,None,0.0,748.0833333333335,-6.393747197129872
29,2258.85,2259.85,2257.8,2258.95,3483,0,0.0,None,0.0,219.13333333333344,997.643343051506
30,233.65,233.8,233.65,233.7,15084,0,0.0,None,0.0,0.0,-85.11038195661177
31,5111.25,5116.75,5109.3,5112.05,405,0,0.0,None,0.0,5099.266666666666,-6.334970134486423
32,784.0,784.55,783.75,783.9,1956,0,0.0,None,0.0,704.1666666666667,17.209928229665074
33,312.9,312.9,312.65,312.65,16163,0,0.0,None,0.0,0.0,-66.48981779206859
34,784.0,784.55,783.75,783.9,1956,0,0.0,None,0.0,782.6833333333334,-1.1288389985495422
35,312.9,312.9,312.65,312.65,16163,0,0.0,None,0.0,313.1166666666666,-0.6829733163913704
