CC1,CC2,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,rsi,rsi0,rsi1,rsi2,roc0,bulRPC,berRPC
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
0,0,0,0,0,none,none,none,none,none,0,none,0,50,50,50,50,0,none,none
