id,sector,symbol,token,PC,CC1,CC2,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,rsi,rsi0,rsi1,rsi2,roc0,bulRPC,berRPC,alarmTimer,srT,srV,nSR,GL,ot,oc
1,Oil Gas & Consumable Fuels,RELIANCE-EQ,2885,2878.05,2848.9,2848.05,2009,1.759999999999991,0.0617966678955773,red,"0.75, 1.5, 1.5","normal, hammer",hammer,none,1919.2,"1.5, 1.5, 1.0","-4.740085321535468, -1.755063357787216, -1.0529640939250358","49.20634920634989, 56.88073394495435, 59.04761904761732",49.20634920634989,56.88073394495435,59.04761904761732,-4.740085321535468,"none, hammer","none, none",0,none,0,0,0,,
2,Information Technology,TCS-EQ,11536,3973.3,3896.95,3896.6,939,2.484999999999991,0.0637735461684543,red,"0.75, 1.0, 0.75","hammer, hammer",hammer,none,2065.7,"0.5, 0.5, 0.75","7.827336652465553, 8.724771937026743, 7.186212737561377","53.95348837209243, 55.7692307692296, 53.06122448979526",53.95348837209243,55.7692307692296,53.06122448979526,7.827336652465553,"hammer, hammer","none, none",0,none,0,0,0,,
3,Financial Services,HDFCBANK-EQ,1333,1444.85,1443.55,1443.35,13343,0.5899999999999863,0.0408771261301823,red,"1.5, 1.5, 0.75","tweezer_b, normal",none,Bearish_Engulfing,25861.6,"0.75, 1.0, 0.5","0.0, 1.3854733123206366, 4.501385041551877","56.09756097560922, 62.162162162162495, 82.1428571428583",56.09756097560922,62.162162162162495,82.1428571428583,0.0,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
4,Financial Services,ICICIBANK-EQ,4963,1023.5,1117.1,1117.15,5173,0.6799999999999727,0.0608691760282838,green,"0.5, 1.5, 0.75","normal, normal",none,none,14207.9,"0.5, 1.5, 0.5","-4.4756747079622246, -4.923462536927598, 0.4473472309202337","41.666666666670615, 40.425531914893206, 54.28571428571688",41.666666666670615,40.425531914893206,54.28571428571688,-4.4756747079622246,"none, none","none, none",0,none,0,0,0,,
5,Fast Moving Consumer Goods,HINDUNILVR-EQ,1394,2419.5,2326.5,2326.05,270,1.6999999999999544,0.0730852733174245,red,"0.5, 0.75, 0.75","normal, normal",none,none,2509.2,"0.0, 0.5, 0.25","-13.327314546118568, -11.390500752203272, -13.542562338779412","26.92307692307423, 28.32369942196213, 23.926380368094087",26.92307692307423,28.32369942196213,23.926380368094087,-13.327314546118568,"none, none","none, none",0,none,0,0,0,,
6,Information Technology,INFY-EQ,1594,1687.2,1425.3,1425.5,13374,0.6150000000000319,0.0431427569273961,green,"1.0, 1.0, 1.0","hammer, tweezer_b",none,none,6643.9,"3.0, 0.75, 0.75","3.50754121360926, 2.1048200378864417, 3.156897821740822","59.999999999998174, 56.52173913043264, 60.46511627906928",59.999999999998174,56.52173913043264,60.46511627906928,3.50754121360926,"hammer, none","none, none",0,none,0,0,0,,
7,Fast Moving Consumer Goods,ITC-EQ,1660,438.05,429.1,429.05,9865,0.2100000000000022,0.0489453443654591,red,"0.5, 0.75, 1.5","tweezer_b, normal",none,none,9894.7,"1.0, 1.0, 0.75","-10.488288078312284, -9.321836401770618, -6.989748369058979","26.08695652173698, 27.27272727272539, 29.99999999999716",26.08695652173698,27.27272727272539,29.99999999999716,-10.488288078312284,"none, none","none, none",0,none,0,0,0,,
8,Financial Services,SBIN-EQ,3045,642.95,822.0,821.7,12998,0.6250000000000228,0.0760618230497776,red,"1.5, 2.0, 0.75","normal, normal",none,Bearish_Engulfing,11031.2,"1.5, 4.0, 0.5","-5.47645125958296, -1.8248175182478985, 4.255319148936446","38.46153846153981, 45.45454545454608, 65.21739130434912",38.46153846153981,45.45454545454608,65.21739130434912,-5.47645125958296,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
9,Telecommunication,BHARTIARTL-EQ,10604,1113.55,1289.9,1290.55,6672,0.7999999999999545,0.0619890744256289,green,"2.0, 1.5, 0.75","normal, hammer",hammer,none,6433.4,"1.5, 1.5, 0.5","4.261748866761881, -0.7752538956501205, 2.712442360599133","59.1397849462363, 52.50000000000071, 59.15492957746299",59.1397849462363,52.50000000000071,59.15492957746299,4.261748866761881,"Bullish_Engulfing, hammer","none, none",0,none,0,0,0,,
10,Financial Services,KOTAKBANK-EQ,1922,1808.35,1649.6,1650.0,2976,1.3450000000000273,0.0815151515151531,green,"0.75, 0.75, 1.5","normal, hammer",hammer,none,7604.0,"0.5, 0.75, 1.5","-15.757575757575204, -18.186226964112517, -16.06109276038585","27.884615384617952, 21.87500000000192, 23.59550561798017",27.884615384617952,21.87500000000192,23.59550561798017,-15.757575757575204,"Bullish_Engulfing, hammer","none, none",0,none,0,0,0,,
